candidate_id,run,template_type,adx_thresh,rsi_overbought,rsi_oversold,wick_ratio_thresh,volume_trend_thresh,parameter_hash
C24_023,Run_A,bollinger_expansion_breakout,17,77,27,0.53,1.95,ddafc0e3c648bb1c
C24_024,Run_A,bollinger_expansion_breakout,18,78,28,0.54,2.0,4985cafe928288ff
C24_025,Run_A,bollinger_expansion_breakout,19,79,29,0.55,0.8,3d26d1b9281dfbc3
C24_026,Run_A,bollinger_expansion_breakout,20,80,30,0.56,0.85,b19e2b5652bd047e
C24_027,Run_A,bollinger_expansion_breakout,21,81,31,0.57,0.9,4d9252e74b2691e4
C24_028,Run_A,bollinger_expansion_breakout,22,82,32,0.58,0.95,9559900b9a3a3950
C24_029,Run_A,bollinger_expansion_breakout,23,83,33,0.59,1.0,7e3bcb2050642a18
C24_030,Run_A,bollinger_expansion_breakout,24,84,34,0.6,1.05,172df4ebcd8715b7
C24_031,Run_A,bollinger_expansion_breakout,25,85,35,0.3,1.1,c3ded69a036e3c79
C24_032,Run_A,bollinger_expansion_breakout,26,70,20,0.31,1.15,28d1bca7a33971e3
C24_033,Run_A,bollinger_expansion_breakout,27,71,21,0.32,1.2,c5fc8ca1211aa6a3
C24_034,Run_A,bollinger_expansion_breakout,28,72,22,0.33,1.25,50f8f0f1658b9a09
C24_035,Run_A,bollinger_expansion_breakout,29,73,23,0.34,1.3,a540a39b23e0fc5e
C24_036,Run_A,bollinger_expansion_breakout,30,74,24,0.35,1.35,25ac596c91c85506
C24_037,Run_A,bollinger_expansion_breakout,31,75,25,0.36,1.4,5cbafd886dbbc640
C24_038,Run_A,bollinger_expansion_breakout,32,76,26,0.37,1.45,24c7a02f83183208
C24_039,Run_A,bollinger_expansion_breakout,33,77,27,0.38,1.5,f00ec51c0dfa671a
C24_040,Run_A,bollinger_expansion_breakout,34,78,28,0.39,1.55,6044c9a63c167673
C24_041,Run_A,bollinger_expansion_breakout,35,79,29,0.4,1.6,ce0cf80edd4b56db
C24_042,Run_A,bollinger_expansion_breakout,15,80,30,0.41,1.65,02cd67e0c4716193
C24_043,Run_A,bollinger_expansion_breakout,16,81,31,0.42,1.7,10159344b7b48936
C24_044,Run_A,bollinger_expansion_breakout,17,82,32,0.43,1.75,114caa76025e78cb
C24_045,Run_A,bollinger_expansion_breakout,18,83,33,0.44,1.8,ea1224d603e36836
C24_046,Run_A,bollinger_expansion_breakout,19,84,34,0.45,1.85,8f83589e419a42af
C24_047,Run_A,bollinger_expansion_breakout,20,85,35,0.46,1.9,268e92920483c0d2
C24_048,Run_A,bollinger_expansion_breakout,21,70,20,0.47,1.95,0486fed6980e6edb
C24_049,Run_A,bollinger_expansion_breakout,22,71,21,0.48,2.0,32d8bdb4b5d922ca
C24_050,Run_A,bollinger_expansion_breakout,23,72,22,0.49,0.8,06a03db4c49f4ae0
C24_051,Run_A,bollinger_expansion_breakout,24,73,23,0.5,0.85,ec766edadb51fdf4
C24_052,Run_A,bollinger_expansion_breakout,25,74,24,0.51,0.9,a54032caad24ea8f
C24_053,Run_A,bollinger_expansion_breakout,26,75,25,0.52,0.95,6dfab1b5e8771453
C24_054,Run_A,bollinger_expansion_breakout,27,76,26,0.53,1.0,b7468ad303570253
C24_055,Run_A,bollinger_expansion_breakout,28,77,27,0.54,1.05,c4b026fb8fad140f
C24_056,Run_A,bollinger_expansion_breakout,29,78,28,0.55,1.1,e1b93979dffc23f8
C24_057,Run_A,bollinger_expansion_breakout,30,79,29,0.56,1.15,239e361fc702a845
C24_058,Run_A,bollinger_expansion_breakout,31,80,30,0.57,1.2,85b6ac1d998f1eb1
C24_059,Run_A,bollinger_expansion_breakout,32,81,31,0.58,1.25,c482bc5f5ef3e236
C24_060,Run_A,bollinger_expansion_breakout,33,82,32,0.59,1.3,260345c76eefa9ff
C24_061,Run_A,bollinger_expansion_breakout,34,83,33,0.6,1.35,a16d786ff931d3fe
C24_062,Run_A,bollinger_expansion_breakout,35,84,34,0.3,1.4,b63874de17823672
C24_063,Run_A,bollinger_expansion_breakout,15,85,35,0.31,1.45,da8d9f1fc4101f94
C24_064,Run_A,bollinger_expansion_breakout,16,70,20,0.32,1.5,353375d638efd4a5
C24_065,Run_A,bollinger_expansion_breakout,17,71,21,0.33,1.55,c1dbbd672f6e516c
C24_066,Run_A,bollinger_expansion_breakout,18,72,22,0.34,1.6,7cc9b5f63f0d2254
C24_067,Run_A,bollinger_expansion_breakout,19,73,23,0.35,1.65,536694d7d2aaedf3
C24_068,Run_A,bollinger_expansion_breakout,20,74,24,0.36,1.7,4e21cb776faebba7
C24_069,Run_A,bollinger_expansion_breakout,21,75,25,0.37,1.75,62a50327da1ba258
C24_070,Run_A,bollinger_expansion_breakout,22,76,26,0.38,1.8,e2f57e64c8b4ed05
C24_071,Run_A,bollinger_expansion_breakout,23,77,27,0.39,1.85,81f736795c2a1b4c
C24_072,Run_A,bollinger_expansion_breakout,24,78,28,0.4,1.9,f92f4212519905c2
C24_073,Run_A,bollinger_expansion_breakout,25,79,29,0.41,1.95,52898625bc7d1601
C24_074,Run_A,bollinger_expansion_breakout,26,80,30,0.42,2.0,e06ad7a7f8104412
C24_075,Run_A,bollinger_expansion_breakout,27,81,31,0.43,0.8,c0f4c2689dc0d79f
C24_076,Run_A,bollinger_expansion_breakout,28,82,32,0.44,0.85,44b000b3751824b3
C24_077,Run_A,bollinger_expansion_breakout,29,83,33,0.45,0.9,1f6e8647ee73ae11
C24_078,Run_A,bollinger_expansion_breakout,30,84,34,0.46,0.95,84a4562f580202ed
C24_079,Run_A,bollinger_expansion_breakout,31,85,35,0.47,1.0,708e2422e6d745f6
C24_080,Run_A,bollinger_expansion_breakout,32,70,20,0.48,1.05,6804d0969c75ae10
C24_081,Run_A,bollinger_expansion_breakout,33,71,21,0.49,1.1,fc5fe3acad4bc350
C24_082,Run_A,bollinger_expansion_breakout,34,72,22,0.5,1.15,4072e45d5b0acf26
C24_083,Run_A,bollinger_expansion_breakout,35,73,23,0.51,1.2,c4e67516a72704ea
C24_084,Run_A,bollinger_expansion_breakout,15,74,24,0.52,1.25,bfb532fd8e2ca5d2
C24_085,Run_A,bollinger_expansion_breakout,16,75,25,0.53,1.3,cc0c7825f6cae02b
C24_086,Run_A,bollinger_expansion_breakout,17,76,26,0.54,1.35,3cf3593c75339088
C24_087,Run_A,bollinger_expansion_breakout,18,77,27,0.55,1.4,e1fff6dd99f1a063
C24_088,Run_A,bollinger_expansion_breakout,19,78,28,0.56,1.45,a336ac3ed82bbcf7
C24_089,Run_A,bollinger_expansion_breakout,20,79,29,0.57,1.5,c1791f76469dd3ba
C24_090,Run_A,bollinger_expansion_breakout,21,80,30,0.58,1.55,9dddfb7c65af94e1
C24_091,Run_A,bollinger_expansion_breakout,22,81,31,0.59,1.6,06aad197d98929f9
C24_092,Run_A,bollinger_expansion_breakout,23,82,32,0.6,1.65,b33bb392ac2ecae3
C24_093,Run_A,bollinger_expansion_breakout,24,83,33,0.3,1.7,21d209563197cae0
C24_094,Run_A,bollinger_expansion_breakout,25,84,34,0.31,1.75,f6acb356c56a8ca3
C24_095,Run_A,bollinger_expansion_breakout,26,85,35,0.32,1.8,b86c015b8a1d34c0
C24_096,Run_A,bollinger_expansion_breakout,27,70,20,0.33,1.85,eb4c782f5fac2df1
C24_097,Run_A,bollinger_expansion_breakout,28,71,21,0.34,1.9,3f3d4b20e6b54e8f
C24_098,Run_A,bollinger_expansion_breakout,29,72,22,0.35,1.95,f78a9c7316e5ab79
C24_099,Run_A,bollinger_expansion_breakout,30,73,23,0.36,2.0,253c5b21387f8e6a
C24_100,Run_A,bollinger_expansion_breakout,31,74,24,0.37,0.8,4072659b82dd6afa
C24_101,Run_A,bollinger_expansion_breakout,32,75,25,0.38,0.85,58f7f17336c6a559
C24_102,Run_A,bollinger_expansion_breakout,33,76,26,0.39,0.9,7ded7a55051cf32a
C24_103,Run_A,bollinger_expansion_breakout,34,77,27,0.4,0.95,2af122e88df2fcde
C24_104,Run_A,bollinger_expansion_breakout,35,78,28,0.41,1.0,0600bd8b7442c754
C24_105,Run_A,bollinger_expansion_breakout,15,79,29,0.42,1.05,163721ddecb6e131
C24_106,Run_A,bollinger_expansion_breakout,16,80,30,0.43,1.1,a62ee86a5a80fd29
C24_107,Run_A,bollinger_expansion_breakout,17,81,31,0.44,1.15,57c87a92b0aeba76
C24_108,Run_A,bollinger_expansion_breakout,18,82,32,0.45,1.2,8c2142a677eba105
C24_109,Run_A,bollinger_expansion_breakout,19,83,33,0.46,1.25,ca9512a56c52542e
C24_110,Run_A,bollinger_expansion_breakout,20,84,34,0.47,1.3,adee2255b4d5fe58
C24_111,Run_A,bollinger_expansion_breakout,21,85,35,0.48,1.35,7f7fa44a0e0ae92a
C24_112,Run_A,bollinger_expansion_breakout,22,70,20,0.49,1.4,f6ddc66468785b6a
C24_113,Run_A,bollinger_expansion_breakout,23,71,21,0.5,1.45,5d43000f23b347ef
C24_114,Run_A,bollinger_expansion_breakout,24,72,22,0.51,1.5,6eb3d785026aa6d6
C24_115,Run_A,bollinger_expansion_breakout,25,73,23,0.52,1.55,7729529b5383bf9a
C24_116,Run_A,bollinger_expansion_breakout,26,74,24,0.53,1.6,efb44de3d6eb94e0
C24_117,Run_A,bollinger_expansion_breakout,27,75,25,0.54,1.65,37b0f5da1d336f36
C24_118,Run_A,bollinger_expansion_breakout,28,76,26,0.55,1.7,31350520dfd4900d
C24_119,Run_A,bollinger_expansion_breakout,29,77,27,0.56,1.75,25e452279781bd8d
C24_120,Run_A,bollinger_expansion_breakout,30,78,28,0.57,1.8,9947db92faeb51ec
C24_121,Run_A,bollinger_expansion_breakout,31,79,29,0.58,1.85,131d68d2ceb7066f
C24_122,Run_A,bollinger_expansion_breakout,32,80,30,0.59,1.9,ccd450a60f0f5655
C24_123,Run_A,bollinger_expansion_breakout,33,81,31,0.6,1.95,23ebdefedeae786a
C24_124,Run_A,bollinger_expansion_breakout,34,82,32,0.3,2.0,321495456043327f
C24_125,Run_A,bollinger_expansion_breakout,35,83,33,0.31,0.8,574574a6c8a173c5
C24_126,Run_A,bollinger_expansion_breakout,15,84,34,0.32,0.85,9705cd606d43eb3b
C24_127,Run_A,bollinger_expansion_breakout,16,85,35,0.33,0.9,8a961a0df753e670
C24_128,Run_A,bollinger_expansion_breakout,17,70,20,0.34,0.95,79d812823d849546
C24_129,Run_A,bollinger_expansion_breakout,18,71,21,0.35,1.0,029ad192dd3e6362
C24_130,Run_A,bollinger_expansion_breakout,19,72,22,0.36,1.05,d3d823979983f70d
C24_131,Run_A,bollinger_expansion_breakout,20,73,23,0.37,1.1,d891951d938cfe6f
C24_132,Run_A,bollinger_expansion_breakout,21,74,24,0.38,1.15,96acbcd479cfa0ad
C24_133,Run_A,bollinger_expansion_breakout,22,75,25,0.39,1.2,00024f6d51bec3c4
C24_134,Run_A,bollinger_expansion_breakout,23,76,26,0.4,1.25,282793e41485dfd2
C24_135,Run_A,bollinger_expansion_breakout,24,77,27,0.41,1.3,5cb7dd72575c9081
C24_136,Run_A,bollinger_expansion_breakout,25,78,28,0.42,1.35,7fa47a87038d9650
C24_137,Run_A,bollinger_expansion_breakout,26,79,29,0.43,1.4,37251be6c1ac531f
C24_138,Run_A,bollinger_expansion_breakout,27,80,30,0.44,1.45,6892af4cdbe4be54
C24_139,Run_A,bollinger_expansion_breakout,28,81,31,0.45,1.5,5615f11fad80ab09
C24_140,Run_A,bollinger_expansion_breakout,29,82,32,0.46,1.55,709cd36c1c84c8e0
C24_141,Run_A,bollinger_expansion_breakout,30,83,33,0.47,1.6,edd893d5e1954a8f
C24_142,Run_A,bollinger_expansion_breakout,31,84,34,0.48,1.65,a364f0c706c7dbbb
C24_143,Run_A,bollinger_expansion_breakout,32,85,35,0.49,1.7,866e936fca38b537
C24_144,Run_A,bollinger_expansion_breakout,33,70,20,0.5,1.75,5f795b3d48454686
C24_145,Run_A,bollinger_expansion_breakout,34,71,21,0.51,1.8,82170611018f9b37
C24_146,Run_A,bollinger_expansion_breakout,35,72,22,0.52,1.85,d3c6b9bc4739a123
C24_147,Run_A,bollinger_expansion_breakout,15,73,23,0.53,1.9,1ffb652e3374269a
C24_148,Run_A,bollinger_expansion_breakout,16,74,24,0.54,1.95,047114ab6657cf0c
C24_149,Run_A,bollinger_expansion_breakout,17,75,25,0.55,2.0,3c07831586bd72da
C24_150,Run_A,bollinger_expansion_breakout,18,76,26,0.56,0.8,4259caf748c10480
C24_151,Run_A,bollinger_expansion_breakout,19,77,27,0.57,0.85,f2a3ead4878ef321
C24_152,Run_A,bollinger_expansion_breakout,20,78,28,0.58,0.9,637b7f50531d13be
C24_153,Run_A,bollinger_expansion_breakout,21,79,29,0.59,0.95,55fedd0c67913e5d
C24_154,Run_A,bollinger_expansion_breakout,22,80,30,0.6,1.0,3a82e7d5fb0b5dd1
C24_155,Run_A,bollinger_expansion_breakout,23,81,31,0.3,1.05,b6ab985d6d51ddb3
C24_156,Run_A,bollinger_expansion_breakout,24,82,32,0.31,1.1,5a6dc39b9c3c409c
C24_157,Run_A,bollinger_expansion_breakout,25,83,33,0.32,1.15,49e22592bba81fec
C24_158,Run_A,bollinger_expansion_breakout,26,84,34,0.33,1.2,a5bc93ae2cd4fe5f
C24_159,Run_A,bollinger_expansion_breakout,27,85,35,0.34,1.25,bbd5d11b97515867
C24_160,Run_A,bollinger_expansion_breakout,28,70,20,0.35,1.3,06250317f199a517
C24_161,Run_A,bollinger_expansion_breakout,29,71,21,0.36,1.35,f9f3fa4156d7db1f
C24_162,Run_A,bollinger_expansion_breakout,30,72,22,0.37,1.4,840da4290b1c596a
C24_163,Run_A,bollinger_expansion_breakout,31,73,23,0.38,1.45,db6ba5ceca615e70
C24_164,Run_A,bollinger_expansion_breakout,32,74,24,0.39,1.5,b53b5d7a4bc88df1
C24_165,Run_A,bollinger_expansion_breakout,33,75,25,0.4,1.55,a82bb54517db32be
C24_166,Run_A,bollinger_expansion_breakout,34,76,26,0.41,1.6,db445b0e1fab024c
C24_167,Run_A,bollinger_expansion_breakout,35,77,27,0.42,1.65,88b00091a40918fd
C24_168,Run_A,bollinger_expansion_breakout,15,78,28,0.43,1.7,e860ecd126fd28a9
C24_169,Run_A,bollinger_expansion_breakout,16,79,29,0.44,1.75,26e7ed5d2481ea33
C24_170,Run_A,bollinger_expansion_breakout,17,80,30,0.45,1.8,79d33be5af1eb7aa
C24_171,Run_A,bollinger_expansion_breakout,18,81,31,0.46,1.85,8e8718af5cf82207
C24_172,Run_A,bollinger_expansion_breakout,19,82,32,0.47,1.9,b42d956014e80b5c
C24_173,Run_A,bollinger_expansion_breakout,20,83,33,0.48,1.95,967142a4a12dc5b7
C24_174,Run_A,bollinger_expansion_breakout,21,84,34,0.49,2.0,a063d4b16480a63b
C24_175,Run_A,bollinger_expansion_breakout,22,85,35,0.5,0.8,b258431151e4737a
C24_176,Run_A,bollinger_expansion_breakout,23,70,20,0.51,0.85,e36685d8683a9b45
C24_177,Run_A,bollinger_expansion_breakout,24,71,21,0.52,0.9,bbc5e45e6d71dc5f
C24_178,Run_A,bollinger_expansion_breakout,25,72,22,0.53,0.95,e73cb7bfd013d10a
C24_179,Run_A,bollinger_expansion_breakout,26,73,23,0.54,1.0,d06cd3592bb78dbd
C24_180,Run_A,bollinger_expansion_breakout,27,74,24,0.55,1.05,b94a4591b058bc83
C24_181,Run_A,bollinger_expansion_breakout,28,75,25,0.56,1.1,cf48e2964da18e5e
C24_182,Run_A,bollinger_expansion_breakout,29,76,26,0.57,1.15,186821406356c92d
C24_183,Run_A,bollinger_expansion_breakout,30,77,27,0.58,1.2,98536ec6e2b1ed57
C24_184,Run_A,bollinger_expansion_breakout,31,78,28,0.59,1.25,fc34593d6ddc0daa
C24_185,Run_A,bollinger_expansion_breakout,32,79,29,0.6,1.3,20aaa3e06df97aae
C24_186,Run_A,bollinger_expansion_breakout,33,80,30,0.3,1.35,5924a100142f3607
C24_187,Run_A,bollinger_expansion_breakout,34,81,31,0.31,1.4,b10bcf284143b655
C24_188,Run_A,bollinger_expansion_breakout,35,82,32,0.32,1.45,7e21a173d1816fd9
C24_189,Run_A,bollinger_expansion_breakout,15,83,33,0.33,1.5,67b8e1eb7d887d4b
C24_190,Run_A,bollinger_expansion_breakout,16,84,34,0.34,1.55,ee75e767f02cd676
C24_191,Run_A,bollinger_expansion_breakout,17,85,35,0.35,1.6,ef9eb3f0d5128dee
C24_192,Run_A,bollinger_expansion_breakout,18,70,20,0.36,1.65,bad2d62efd14680e
C24_193,Run_A,bollinger_expansion_breakout,19,71,21,0.37,1.7,e3c12ffd8d1a72fe
C24_194,Run_A,bollinger_expansion_breakout,20,72,22,0.38,1.75,a92ed0f66b3b9a77
C24_195,Run_A,bollinger_expansion_breakout,21,73,23,0.39,1.8,a7ffe83670c1352d
C24_196,Run_A,bollinger_expansion_breakout,22,74,24,0.4,1.85,826980061d73029c
C24_197,Run_A,bollinger_expansion_breakout,23,75,25,0.41,1.9,0674b7c3551e50e1
C24_198,Run_A,bollinger_expansion_breakout,24,76,26,0.42,1.95,3087e6197422c3e2
C24_199,Run_A,bollinger_expansion_breakout,25,77,27,0.43,2.0,d46e43a772114846
C24_200,Run_A,bollinger_expansion_breakout,26,78,28,0.44,0.8,48e1e66a112c03c0
C24_201,Run_A,bollinger_expansion_breakout,27,79,29,0.45,0.85,07e9967bbbd099a5
C24_202,Run_A,bollinger_expansion_breakout,28,80,30,0.46,0.9,b80b2ff13e4d8ae3
C24_203,Run_A,bollinger_expansion_breakout,29,81,31,0.47,0.95,4979272b6860e50e
C24_204,Run_A,bollinger_expansion_breakout,30,82,32,0.48,1.0,b054d1e20756736a
C24_205,Run_A,bollinger_expansion_breakout,31,83,33,0.49,1.05,3c7218ff49a6cda8
C24_206,Run_A,bollinger_expansion_breakout,32,84,34,0.5,1.1,bda55857e76fcc7c
C24_207,Run_A,bollinger_expansion_breakout,33,85,35,0.51,1.15,4c6af2769b8f13dd
C24_208,Run_A,bollinger_expansion_breakout,34,70,20,0.52,1.2,5074362546d5eade
C24_209,Run_A,bollinger_expansion_breakout,35,71,21,0.53,1.25,c47790176bf04d0d
C24_210,Run_A,bollinger_expansion_breakout,15,72,22,0.54,1.3,810bd2bf2404faf9
C24_211,Run_A,bollinger_expansion_breakout,16,73,23,0.55,1.35,dd3b810b7285057b
C24_212,Run_A,bollinger_expansion_breakout,17,74,24,0.56,1.4,99b7bb9c9554816e
C24_213,Run_A,bollinger_expansion_breakout,18,75,25,0.57,1.45,80138350db45a09d
C24_214,Run_A,bollinger_expansion_breakout,19,76,26,0.58,1.5,7ee0b30413da8a74
C24_215,Run_A,bollinger_expansion_breakout,20,77,27,0.59,1.55,9e124fc4842bdff6
C24_216,Run_A,bollinger_expansion_breakout,21,78,28,0.6,1.6,dc40b26ec089890b
C24_217,Run_A,bollinger_expansion_breakout,22,79,29,0.3,1.65,42d3e8f09f6eeb98
C24_218,Run_A,bollinger_expansion_breakout,23,80,30,0.31,1.7,fdba3bd41c835453
C24_219,Run_A,bollinger_expansion_breakout,24,81,31,0.32,1.75,1dacce196ca0375f
C24_220,Run_A,bollinger_expansion_breakout,25,82,32,0.33,1.8,2a8ce152c3d60d6a
C24_221,Run_A,bollinger_expansion_breakout,26,83,33,0.34,1.85,f0c990b05862f88b
C24_222,Run_A,bollinger_expansion_breakout,27,84,34,0.35,1.9,825b8455ab912bda
C24_223,Run_A,bollinger_expansion_breakout,28,85,35,0.36,1.95,10f8ea986ab48622
C24_224,Run_A,bollinger_expansion_breakout,29,70,20,0.37,2.0,296a8f14ecda2ef4
C24_225,Run_A,bollinger_expansion_breakout,30,71,21,0.38,0.8,5110d52e68e0d2b4
C24_226,Run_A,bollinger_expansion_breakout,31,72,22,0.39,0.85,1c7cd3b50dee9c2b
C24_227,Run_A,bollinger_expansion_breakout,32,73,23,0.4,0.9,aba86901f03f68bf
C24_228,Run_A,bollinger_expansion_breakout,33,74,24,0.41,0.95,8f8a08edf0d5939d
C24_229,Run_A,bollinger_expansion_breakout,34,75,25,0.42,1.0,b145fed97f8bd5c2
C24_230,Run_A,bollinger_expansion_breakout,35,76,26,0.43,1.05,f4716b0dbd35074a
C24_231,Run_A,bollinger_expansion_breakout,15,77,27,0.44,1.1,0dd0ecfb1e622780
C24_232,Run_A,bollinger_expansion_breakout,16,78,28,0.45,1.15,7bffcca350de8f52
C24_233,Run_A,bollinger_expansion_breakout,17,79,29,0.46,1.2,011be324e466ff2c
C24_234,Run_A,bollinger_expansion_breakout,18,80,30,0.47,1.25,e20d933fb437ff27
C24_235,Run_A,bollinger_expansion_breakout,19,81,31,0.48,1.3,4762bc0073286689
C24_236,Run_A,bollinger_expansion_breakout,20,82,32,0.49,1.35,841c05fe35bef735
C24_237,Run_A,bollinger_expansion_breakout,21,83,33,0.5,1.4,8908d956015d38bf
C24_238,Run_A,bollinger_expansion_breakout,22,84,34,0.51,1.45,87e9a4564d0b9784
C24_239,Run_A,bollinger_expansion_breakout,23,85,35,0.52,1.5,7e4c426684ae7c10
C24_240,Run_A,bollinger_expansion_breakout,24,70,20,0.53,1.55,509a6293bf572a6f
C24_241,Run_A,bollinger_expansion_breakout,25,71,21,0.54,1.6,a36af301ccac30db
C24_242,Run_A,bollinger_expansion_breakout,26,72,22,0.55,1.65,231aa59486f88c69
C24_243,Run_A,bollinger_expansion_breakout,27,73,23,0.56,1.7,e4039e77261a8cc0
C24_244,Run_A,bollinger_expansion_breakout,28,74,24,0.57,1.75,f76ddf377192e740
C24_245,Run_A,bollinger_expansion_breakout,29,75,25,0.58,1.8,2e99ac88f0539e90
C24_246,Run_A,bollinger_expansion_breakout,30,76,26,0.59,1.85,dd45db88eda8f94a
C24_247,Run_A,bollinger_expansion_breakout,31,77,27,0.6,1.9,ce245fab787de758
C24_248,Run_A,bollinger_expansion_breakout,32,78,28,0.3,1.95,aba4d5cbb9427f9f
C24_249,Run_A,bollinger_expansion_breakout,33,79,29,0.31,2.0,88ceef610dd7fdcd
C24_250,Run_A,bollinger_expansion_breakout,34,80,30,0.32,0.8,eed8049fd79bdc3a
C24_251,Run_B,bollinger_expansion_breakout,35,81,31,0.33,0.85,f849533842aa453c
C24_252,Run_B,bollinger_expansion_breakout,15,82,32,0.34,0.9,86b684512cb56c8c
C24_253,Run_B,bollinger_expansion_breakout,16,83,33,0.35,0.95,c716b79c23da4c55
C24_254,Run_B,bollinger_expansion_breakout,17,84,34,0.36,1.0,efdcb0bc9bb8606b
C24_255,Run_B,bollinger_expansion_breakout,18,85,35,0.37,1.05,76d4d7befa94fda8
C24_256,Run_B,bollinger_expansion_breakout,19,70,20,0.38,1.1,a6122c2e71c33fc9
C24_257,Run_B,bollinger_expansion_breakout,20,71,21,0.39,1.15,f79868e52cd3dab0
C24_258,Run_B,bollinger_expansion_breakout,21,72,22,0.4,1.2,9648964ee34874dc
C24_259,Run_B,bollinger_expansion_breakout,22,73,23,0.41,1.25,66b9802edbabe255
C24_260,Run_B,bollinger_expansion_breakout,23,74,24,0.42,1.3,c0f573c635a15faf
C24_261,Run_B,bollinger_expansion_breakout,24,75,25,0.43,1.35,7858867287923843
C24_262,Run_B,bollinger_expansion_breakout,25,76,26,0.44,1.4,ff320369acca4ec5
C24_263,Run_B,bollinger_expansion_breakout,26,77,27,0.45,1.45,77b9a1923e1655e5
C24_264,Run_B,bollinger_expansion_breakout,27,78,28,0.46,1.5,972eb5e78d897e4c
C24_265,Run_B,bollinger_expansion_breakout,28,79,29,0.47,1.55,fee287985340d37d
C24_266,Run_B,bollinger_expansion_breakout,29,80,30,0.48,1.6,36a13002b2db9ca5
C24_267,Run_B,bollinger_expansion_breakout,30,81,31,0.49,1.65,772754743d7fc02a
C24_268,Run_B,bollinger_expansion_breakout,31,82,32,0.5,1.7,4fb6f04ff6aa9e67
C24_269,Run_B,bollinger_expansion_breakout,32,83,33,0.51,1.75,5cf5b2bfdf373104
C24_270,Run_B,bollinger_expansion_breakout,33,84,34,0.52,1.8,199c4a2c3d5e7c4f
C24_271,Run_B,bollinger_expansion_breakout,34,85,35,0.53,1.85,7775e8256770e011
C24_272,Run_B,bollinger_expansion_breakout,35,70,20,0.54,1.9,bd1cb2eb57cb218a
C24_273,Run_B,bollinger_expansion_breakout,15,71,21,0.55,1.95,2897e20def99247f
C24_274,Run_B,bollinger_expansion_breakout,16,72,22,0.56,2.0,ddd58ce87393e1dd
C24_275,Run_B,bollinger_expansion_breakout,17,73,23,0.57,0.8,6779452efac17e29
C24_276,Run_B,bollinger_expansion_breakout,18,74,24,0.58,0.85,a2256f4b7c22bda0
C24_277,Run_B,bollinger_expansion_breakout,19,75,25,0.59,0.9,5a07f7f5ba6b2d2e
C24_278,Run_B,bollinger_expansion_breakout,20,76,26,0.6,0.95,60b9d9ac6b95acc2
C24_279,Run_B,bollinger_expansion_breakout,21,77,27,0.3,1.0,824354b6ad6c17c8
C24_280,Run_B,bollinger_expansion_breakout,22,78,28,0.31,1.05,eac286c4a1539c5f
C24_281,Run_B,bollinger_expansion_breakout,23,79,29,0.32,1.1,a7b5eb0a05165a3d
C24_282,Run_B,bollinger_expansion_breakout,24,80,30,0.33,1.15,ae611b45eb21400b
C24_283,Run_B,bollinger_expansion_breakout,25,81,31,0.34,1.2,9bf1b539d9264073
C24_284,Run_B,bollinger_expansion_breakout,26,82,32,0.35,1.25,3497ac24097fed44
C24_285,Run_B,bollinger_expansion_breakout,27,83,33,0.36,1.3,06618ea9ac770477
