candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_risk,session_mode,skip_same_candle,source_mode,min_hold_candles,registered_status
P34_0023,0b62924e8ca0d98c,session_aware,1.1,0.7,0.3,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0024,2efbb119e803d1d4,off_hours_stricter_r,1.2,0.9,0.3,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0025,6fd4ab6b971093b9,same_candle_hardened,1.35,0.9,0.45,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0026,f600393c12840b98,cand0190_relative,1.5,0.9,0.45,LONDON_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0027,753cc62f8165df36,high_pf_low_frequency,1.8,1.0,0.45,LONDON_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0028,820261f0984356a6,stress_hardened,,1.0,0.45,NY_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0029,ba623ade5667add9,balanced_activity,1.0,1.0,0.45,NY_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0030,4c7867052bd6dbd1,cost_to_atr_gate,1.1,1.15,,NY_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0031,6950e144cab3aaee,projected_net_r_gate,1.2,1.15,,NY_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0032,2ca5c8eecab64130,low_r_filtered,1.35,1.15,,NY_ONLY,False,BB_ONLY,2.0,REGISTERED
P34_0033,2174a6f79e252268,session_aware,1.5,1.3,,NY_ONLY,True,BB_ONLY,2.0,REGISTERED
P34_0034,8be18d5c23e63a15,off_hours_stricter_r,1.8,1.3,,NY_ONLY,False,BB_ONLY,4.0,REGISTERED
P34_0035,63196a3958424bd2,same_candle_hardened,,1.3,0.1,OFF_HOURS_STRICT_R,False,BB_ONLY,4.0,REGISTERED
P34_0036,7432ec8f5b1e60a9,cand0190_relative,1.0,,0.1,OFF_HOURS_STRICT_R,False,BB_ONLY,4.0,REGISTERED
P34_0037,a25ae25cb569cbdd,high_pf_low_frequency,1.1,,0.1,OFF_HOURS_STRICT_R,False,BB_ONLY,4.0,REGISTERED
P34_0038,3a226726632da4e1,stress_hardened,1.2,,0.1,OFF_HOURS_STRICT_R,False,BB_ONLY,4.0,REGISTERED
P34_0039,c9f346ef74234fc2,balanced_activity,1.35,0.7,0.1,OFF_HOURS_STRICT_R,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0040,a161557b344b168e,cost_to_atr_gate,1.5,0.7,0.15,OFF_HOURS_STRICT_R,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0041,e554058f871b7bf4,projected_net_r_gate,1.8,0.7,0.15,OFF_HOURS_STRICT_R,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0042,e213badaa57a2b54,low_r_filtered,,0.9,0.15,ALL,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0043,9360e263d1c7fd30,session_aware,1.0,0.9,0.15,ALL,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0044,be8f76097e888d57,off_hours_stricter_r,1.1,0.9,0.15,ALL,True,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0045,c6b29f18a6891a45,same_candle_hardened,1.2,1.0,0.2,ALL,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0046,c18fc754af94531b,cand0190_relative,1.35,1.0,0.2,ALL,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0047,b9a40d635c148150,high_pf_low_frequency,1.5,1.0,0.2,ALL,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0048,a465b2dbe702fa19,stress_hardened,1.8,1.15,0.2,ALL,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0049,4742bfb4dec73641,balanced_activity,,1.15,0.2,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0050,c614a1a3e2c34250,cost_to_atr_gate,1.0,1.15,0.3,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0051,e473797be369afba,projected_net_r_gate,1.1,1.3,0.3,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,6.0,REGISTERED
P34_0052,e7cb822c84577e16,low_r_filtered,1.2,1.3,0.3,NO_OFF_HOURS,False,ALL,6.0,REGISTERED
P34_0053,b7f456bab447a15e,session_aware,1.35,1.3,0.3,NO_OFF_HOURS,False,ALL,6.0,REGISTERED
P34_0054,952f3001d6858dbe,off_hours_stricter_r,1.5,,0.3,NO_OFF_HOURS,False,ALL,6.0,REGISTERED
P34_0055,5c6bb09fc43bf700,same_candle_hardened,1.8,,0.45,NO_OFF_HOURS,True,ALL,6.0,REGISTERED
P34_0056,95bb7194818a1948,cand0190_relative,,,0.45,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0057,3bd690ad16b68a80,high_pf_low_frequency,1.0,0.7,0.45,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0058,01d3e0d1bba82939,stress_hardened,1.1,0.7,0.45,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0059,218491f3a7c2c2ed,balanced_activity,1.2,0.7,0.45,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0060,106e0184faf4cc51,cost_to_atr_gate,1.35,0.9,,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0061,0795c7aea7ce323e,projected_net_r_gate,1.5,0.9,,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0062,2e42074b2c2670f3,low_r_filtered,1.8,0.9,,LONDON_NY,False,ALL,6.0,REGISTERED
P34_0063,804478a4ac4c2213,session_aware,,1.0,,LONDON_ONLY,False,ALL,6.0,REGISTERED
P34_0064,aedf65687cd19fb7,off_hours_stricter_r,1.0,1.0,,LONDON_ONLY,False,ALL,6.0,REGISTERED
P34_0065,eeb7a63c660c0abb,same_candle_hardened,1.1,1.0,0.1,LONDON_ONLY,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0066,0fe10c959fe4e171,cand0190_relative,1.2,1.15,0.1,LONDON_ONLY,True,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0067,a88b0c75191824b5,high_pf_low_frequency,1.35,1.15,0.1,LONDON_ONLY,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0068,c6f8e37bc34673fb,stress_hardened,1.5,1.15,0.1,LONDON_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0069,c5beb4991675820e,balanced_activity,1.8,1.3,0.1,LONDON_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0070,a506cb2e6a59b3eb,cost_to_atr_gate,,1.3,0.15,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0071,4fe1bd8c29b9359c,projected_net_r_gate,1.0,1.3,0.15,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0072,263c7e336e8f15ed,low_r_filtered,1.1,,0.15,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0073,c63fab4e27685131,session_aware,1.2,,0.15,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0074,0c08c592906a7b23,off_hours_stricter_r,1.35,,0.15,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0075,c9219368c55da4e3,same_candle_hardened,1.5,0.7,0.2,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0076,4424f40a4708dde7,cand0190_relative,1.8,0.7,0.2,NY_ONLY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0077,c2c63268425a8261,high_pf_low_frequency,,0.7,0.2,OFF_HOURS_STRICT_R,True,NO_FUNDING_REVERSAL,,REGISTERED
P34_0078,e43d4bde2693810e,stress_hardened,1.0,0.9,0.2,OFF_HOURS_STRICT_R,False,BB_ONLY,,REGISTERED
P34_0079,3bf493365f8c95ec,balanced_activity,1.1,0.9,0.2,OFF_HOURS_STRICT_R,False,BB_ONLY,,REGISTERED
P34_0080,5cc1a485107d156e,cost_to_atr_gate,1.2,0.9,0.3,OFF_HOURS_STRICT_R,False,BB_ONLY,,REGISTERED
P34_0081,28c8b4ca83479a59,projected_net_r_gate,1.35,1.0,0.3,OFF_HOURS_STRICT_R,False,BB_ONLY,,REGISTERED
P34_0082,e1d001b5ed6af828,low_r_filtered,1.5,1.0,0.3,OFF_HOURS_STRICT_R,False,BB_ONLY,,REGISTERED
P34_0083,245f9779fb347fd9,session_aware,1.8,1.0,0.3,OFF_HOURS_STRICT_R,False,BB_ONLY,,REGISTERED
P34_0084,193e0c9e73f2ae1f,off_hours_stricter_r,,1.15,0.3,ALL,False,BB_ONLY,,REGISTERED
P34_0085,84389fa429cc9697,same_candle_hardened,1.0,1.15,0.45,ALL,False,BB_ONLY,2.0,REGISTERED
P34_0086,2f7d7429d06b8c45,cand0190_relative,1.1,1.15,0.45,ALL,False,BB_ONLY,2.0,REGISTERED
P34_0087,4840a6c78e8018a5,high_pf_low_frequency,1.2,1.3,0.45,ALL,False,BB_ONLY,2.0,REGISTERED
P34_0088,ba970dc2161f0974,stress_hardened,1.35,1.3,0.45,ALL,True,BB_ONLY,2.0,REGISTERED
P34_0089,7b44af6b839d74e2,balanced_activity,1.5,1.3,0.45,ALL,False,BB_ONLY,2.0,REGISTERED
P34_0090,1393c948ea235428,cost_to_atr_gate,1.8,,,ALL,False,BB_ONLY,2.0,REGISTERED
P34_0091,9ca0cf4e1a8a3b76,projected_net_r_gate,,,,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0092,a1539dbe83a997c9,low_r_filtered,1.0,,,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0093,9356dae7821d3b52,session_aware,1.1,0.7,,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0094,ba9cdf3698850975,off_hours_stricter_r,1.2,0.7,,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0095,918b34ef00ccaa22,same_candle_hardened,1.35,0.7,0.1,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0096,0b2166416499a614,cand0190_relative,1.5,0.9,0.1,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0097,2f364a98216a338c,high_pf_low_frequency,1.8,0.9,0.1,NO_OFF_HOURS,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0098,1ee2e7186e4e6575,stress_hardened,,0.9,0.1,LONDON_NY,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0099,421f9a4a658cb391,balanced_activity,1.0,1.0,0.1,LONDON_NY,True,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0100,f0dabc4378089be4,cost_to_atr_gate,1.1,1.0,0.15,LONDON_NY,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0101,07c0554616508e57,projected_net_r_gate,1.2,1.0,0.15,LONDON_NY,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0102,1ecca4d121f10b0e,low_r_filtered,1.35,1.15,0.15,LONDON_NY,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0103,b5675986606f7ec0,session_aware,1.5,1.15,0.15,LONDON_NY,False,LOW_ACTIVITY_ONLY,4.0,REGISTERED
P34_0104,e81fe378b7c9b22a,off_hours_stricter_r,1.8,1.15,0.15,LONDON_NY,False,ALL,4.0,REGISTERED
P34_0105,57ef7a4329faec46,same_candle_hardened,,1.3,0.2,LONDON_ONLY,False,ALL,4.0,REGISTERED
P34_0106,658afc345f1ea3be,cand0190_relative,1.0,1.3,0.2,LONDON_ONLY,False,ALL,4.0,REGISTERED
P34_0107,ed2391ca9d9d290a,high_pf_low_frequency,1.1,1.3,0.2,LONDON_ONLY,False,ALL,4.0,REGISTERED
P34_0108,3fdf79e4200b5c5a,stress_hardened,1.2,,0.2,LONDON_ONLY,False,ALL,4.0,REGISTERED
P34_0109,9d178ddd98d42485,balanced_activity,1.35,,0.2,LONDON_ONLY,False,ALL,4.0,REGISTERED
P34_0110,f43bb3426162a145,cost_to_atr_gate,1.5,,0.3,LONDON_ONLY,True,ALL,4.0,REGISTERED
P34_0111,cc6c180a196bacca,projected_net_r_gate,1.8,0.7,0.3,LONDON_ONLY,False,ALL,4.0,REGISTERED
P34_0112,bbc2a947ca60b686,low_r_filtered,,0.7,0.3,NY_ONLY,False,ALL,4.0,REGISTERED
P34_0113,b9b195d0064e10f1,session_aware,1.0,0.7,0.3,NY_ONLY,False,ALL,4.0,REGISTERED
P34_0114,ef577f06f61fd314,off_hours_stricter_r,1.1,0.9,0.3,NY_ONLY,False,ALL,4.0,REGISTERED
P34_0115,117289322955f5c6,same_candle_hardened,1.2,0.9,0.45,NY_ONLY,False,ALL,4.0,REGISTERED
P34_0116,6e97ab65a9d1d12c,cand0190_relative,1.35,0.9,0.45,NY_ONLY,False,ALL,4.0,REGISTERED
P34_0117,b4a472f156cb457b,high_pf_low_frequency,1.5,1.0,0.45,NY_ONLY,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0118,41682245956b3682,stress_hardened,1.8,1.0,0.45,NY_ONLY,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0119,cb964e7f4a39029c,balanced_activity,,1.0,0.45,OFF_HOURS_STRICT_R,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0120,07387dea57b4e411,cost_to_atr_gate,1.0,1.15,,OFF_HOURS_STRICT_R,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0121,914f1bd308a75349,projected_net_r_gate,1.1,1.15,,OFF_HOURS_STRICT_R,True,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0122,6837f9be0a06de97,low_r_filtered,1.2,1.15,,OFF_HOURS_STRICT_R,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0123,3be1cf99ba42fd5c,session_aware,1.35,1.3,,OFF_HOURS_STRICT_R,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0124,1c7a35e2fca162b1,off_hours_stricter_r,1.5,1.3,,OFF_HOURS_STRICT_R,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0125,77a28ff33f0815bf,same_candle_hardened,1.8,1.3,0.1,OFF_HOURS_STRICT_R,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0126,d85484613244a1d4,cand0190_relative,,,0.1,ALL,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0127,380c88a761d84f01,high_pf_low_frequency,1.0,,0.1,ALL,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0128,a2d85ddc443f9195,stress_hardened,1.1,,0.1,ALL,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0129,c4f27c3b86fbe176,balanced_activity,1.2,0.7,0.1,ALL,False,NO_FUNDING_REVERSAL,6.0,REGISTERED
P34_0130,ce2619a947dd67c0,cost_to_atr_gate,1.35,0.7,0.15,ALL,False,BB_ONLY,6.0,REGISTERED
P34_0131,51f4e8017475469d,projected_net_r_gate,1.5,0.7,0.15,ALL,False,BB_ONLY,6.0,REGISTERED
P34_0132,2129632669480e89,low_r_filtered,1.8,0.9,0.15,ALL,True,BB_ONLY,6.0,REGISTERED
P34_0133,b54ee6e2bdb2b3df,session_aware,,0.9,0.15,NO_OFF_HOURS,False,BB_ONLY,6.0,REGISTERED
P34_0134,f5a199139b9a64b7,off_hours_stricter_r,1.0,0.9,0.15,NO_OFF_HOURS,False,BB_ONLY,6.0,REGISTERED
P34_0135,149c18d86f733a13,same_candle_hardened,1.1,1.0,0.2,NO_OFF_HOURS,False,BB_ONLY,6.0,REGISTERED
P34_0136,8861ad71f86ae297,cand0190_relative,1.2,1.0,0.2,NO_OFF_HOURS,False,BB_ONLY,,REGISTERED
P34_0137,ec94ae4d0e6dfe16,high_pf_low_frequency,1.35,1.0,0.2,NO_OFF_HOURS,False,BB_ONLY,,REGISTERED
P34_0138,a287e9fc9db1e358,stress_hardened,1.5,1.15,0.2,NO_OFF_HOURS,False,BB_ONLY,,REGISTERED
P34_0139,acde7917edbb1ac2,balanced_activity,1.8,1.15,0.2,NO_OFF_HOURS,False,BB_ONLY,,REGISTERED
P34_0140,550ebafbcd1c921f,cost_to_atr_gate,,1.15,0.3,LONDON_NY,False,BB_ONLY,,REGISTERED
P34_0141,50f56356c14a26c0,projected_net_r_gate,1.0,1.3,0.3,LONDON_NY,False,BB_ONLY,,REGISTERED
P34_0142,212b6154498d2fe9,low_r_filtered,1.1,1.3,0.3,LONDON_NY,False,BB_ONLY,,REGISTERED
P34_0143,8bf2e667347fd7e8,session_aware,1.2,1.3,0.3,LONDON_NY,True,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0144,ca4d83cb8d6ab85c,off_hours_stricter_r,1.35,,0.3,LONDON_NY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0145,5e7bf039f448906f,same_candle_hardened,1.5,,0.45,LONDON_NY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0146,fc29243ef744c05b,cand0190_relative,1.8,,0.45,LONDON_NY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0147,4aa70794cd795c48,high_pf_low_frequency,,0.7,0.45,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0148,46a739105c1c3908,stress_hardened,1.0,0.7,0.45,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0149,b622f26790e3d3f4,balanced_activity,1.1,0.7,0.45,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0150,a0a168204660105d,cost_to_atr_gate,1.2,0.9,,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0151,abf9e8f7c219443f,projected_net_r_gate,1.35,0.9,,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0152,9c0926af8c973d96,low_r_filtered,1.5,0.9,,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,,REGISTERED
P34_0153,a095c8c8b9efd058,session_aware,1.8,1.0,,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0154,880c0173bb40a07a,off_hours_stricter_r,,1.0,,NY_ONLY,True,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0155,95319bea91b8bbf4,same_candle_hardened,1.0,1.0,0.1,NY_ONLY,False,LOW_ACTIVITY_ONLY,2.0,REGISTERED
P34_0156,606e470cca19ae76,cand0190_relative,1.1,1.15,0.1,NY_ONLY,False,ALL,2.0,REGISTERED
P34_0157,c87982b729f2a952,high_pf_low_frequency,1.2,1.15,0.1,NY_ONLY,False,ALL,2.0,REGISTERED
P34_0158,e5a6d89631dee237,stress_hardened,1.35,1.15,0.1,NY_ONLY,False,ALL,2.0,REGISTERED
P34_0159,84de1dafa1405dd0,balanced_activity,1.5,1.3,0.1,NY_ONLY,False,ALL,2.0,REGISTERED
P34_0160,e63e92b0c558eb23,cost_to_atr_gate,1.8,1.3,0.15,NY_ONLY,False,ALL,2.0,REGISTERED
P34_0161,53d3f7fef377bae4,projected_net_r_gate,,1.3,0.15,OFF_HOURS_STRICT_R,False,ALL,2.0,REGISTERED
P34_0162,5be3e75a66bf7a89,low_r_filtered,1.0,,0.15,OFF_HOURS_STRICT_R,False,ALL,2.0,REGISTERED
P34_0163,99417587482443a8,session_aware,1.1,,0.15,OFF_HOURS_STRICT_R,False,ALL,2.0,REGISTERED
P34_0164,7511491980a91702,off_hours_stricter_r,1.2,,0.15,OFF_HOURS_STRICT_R,False,ALL,2.0,REGISTERED
P34_0165,b38d411e928a4392,same_candle_hardened,1.35,0.7,0.2,OFF_HOURS_STRICT_R,True,ALL,2.0,REGISTERED
P34_0166,351d596459c98059,cand0190_relative,1.5,0.7,0.2,OFF_HOURS_STRICT_R,False,ALL,2.0,REGISTERED
P34_0167,68b840d770f63ab8,high_pf_low_frequency,1.8,0.7,0.2,OFF_HOURS_STRICT_R,False,ALL,2.0,REGISTERED
P34_0168,91398c0d973a7c06,stress_hardened,,0.9,0.2,ALL,False,ALL,2.0,REGISTERED
P34_0169,6620a66d798e4363,balanced_activity,1.0,0.9,0.2,ALL,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0170,f2c4a4d06b552769,cost_to_atr_gate,1.1,0.9,0.3,ALL,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0171,5705eb66e0043851,projected_net_r_gate,1.2,1.0,0.3,ALL,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0172,d80f17b641800939,low_r_filtered,1.35,1.0,0.3,ALL,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0173,ca46412aaa28ff3b,session_aware,1.5,1.0,0.3,ALL,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0174,93c7e2ea1ad90252,off_hours_stricter_r,1.8,1.15,0.3,ALL,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0175,6453719f5e5f2500,same_candle_hardened,,1.15,0.45,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0176,baaf3c634f3af687,cand0190_relative,1.0,1.15,0.45,NO_OFF_HOURS,True,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0177,4a53876416e2e721,high_pf_low_frequency,1.1,1.3,0.45,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0178,cd0aa3e39677e5de,stress_hardened,1.2,1.3,0.45,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0179,3326094c27188af1,balanced_activity,1.35,1.3,0.45,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0180,5c8acce324cc8170,cost_to_atr_gate,1.5,,,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0181,f4a97d30d457822a,projected_net_r_gate,1.8,,,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,4.0,REGISTERED
P34_0182,a1ef88ea25735dde,low_r_filtered,,,,LONDON_NY,False,BB_ONLY,4.0,REGISTERED
P34_0183,53314bda665ed28d,session_aware,1.0,0.7,,LONDON_NY,False,BB_ONLY,4.0,REGISTERED
P34_0184,44a18419ed19d531,off_hours_stricter_r,1.1,0.7,,LONDON_NY,False,BB_ONLY,4.0,REGISTERED
P34_0185,8e4e5a24f9a597d1,same_candle_hardened,1.2,0.7,0.1,LONDON_NY,False,BB_ONLY,4.0,REGISTERED
P34_0186,9a30e39373366cfa,cand0190_relative,1.35,0.9,0.1,LONDON_NY,False,BB_ONLY,4.0,REGISTERED
P34_0187,69f66af8ac22b74c,high_pf_low_frequency,1.5,0.9,0.1,LONDON_NY,True,BB_ONLY,6.0,REGISTERED
P34_0188,e4b44301fae46b7f,stress_hardened,1.8,0.9,0.1,LONDON_NY,False,BB_ONLY,6.0,REGISTERED
P34_0189,f35df90913aa6b3f,balanced_activity,,1.0,0.1,LONDON_ONLY,False,BB_ONLY,6.0,REGISTERED
P34_0190,4523145d8d9da44b,cost_to_atr_gate,1.0,1.0,0.15,LONDON_ONLY,False,BB_ONLY,6.0,REGISTERED
P34_0191,fef4178b89458e49,projected_net_r_gate,1.1,1.0,0.15,LONDON_ONLY,False,BB_ONLY,6.0,REGISTERED
P34_0192,062b1a71e44d0e4b,low_r_filtered,1.2,1.15,0.15,LONDON_ONLY,False,BB_ONLY,6.0,REGISTERED
P34_0193,a9a11637a6527406,session_aware,1.35,1.15,0.15,LONDON_ONLY,False,BB_ONLY,6.0,REGISTERED
P34_0194,78af9164a9884ca9,off_hours_stricter_r,1.5,1.15,0.15,LONDON_ONLY,False,BB_ONLY,6.0,REGISTERED
P34_0195,efaf80f5bfa1a9ef,same_candle_hardened,1.8,1.3,0.2,LONDON_ONLY,False,LOW_ACTIVITY_ONLY,6.0,REGISTERED
P34_0196,544bd47587584a2d,cand0190_relative,,1.3,0.2,NY_ONLY,False,LOW_ACTIVITY_ONLY,6.0,REGISTERED
P34_0197,57d21333c4edf537,high_pf_low_frequency,1.0,1.3,0.2,NY_ONLY,False,LOW_ACTIVITY_ONLY,6.0,REGISTERED
P34_0198,e70c7d43cf0fa396,stress_hardened,1.1,,0.2,NY_ONLY,True,LOW_ACTIVITY_ONLY,6.0,REGISTERED
