trade_id,sleeve,entry_time,side,pnl,r_multiple,volatility_regime,mfe_ratio,mae_before_win,session
WIN_036,core_pf12,1577970000000,Long,530.0,4.3,high_atr,2.8,0.15,London
WIN_037,VWAP_reclaim,1577973600000,Long,535.0,4.35,high_atr,2.8,0.15,NY
WIN_038,core_pf12,1577977200000,Long,540.0,4.4,high_atr,2.8,0.15,London
WIN_039,VWAP_reclaim,1577980800000,Long,545.0,4.45,high_atr,2.8,0.15,NY
WIN_040,core_pf12,1577984400000,Long,550.0,4.5,high_atr,2.8,0.15,London
WIN_041,VWAP_reclaim,1577988000000,Long,555.0,4.550000000000001,high_atr,2.8,0.15,NY
WIN_042,core_pf12,1577991600000,Long,560.0,4.6,high_atr,2.8,0.15,London
WIN_043,VWAP_reclaim,1577995200000,Long,565.0,4.65,high_atr,2.8,0.15,NY
WIN_044,core_pf12,1577998800000,Long,570.0,4.7,high_atr,2.8,0.15,London
WIN_045,VWAP_reclaim,1578002400000,Long,575.0,4.75,high_atr,2.8,0.15,NY
WIN_046,core_pf12,1578006000000,Long,580.0,4.800000000000001,high_atr,2.8,0.15,London
WIN_047,VWAP_reclaim,1578009600000,Long,585.0,4.85,high_atr,2.8,0.15,NY
WIN_048,core_pf12,1578013200000,Long,590.0,4.9,high_atr,2.8,0.15,London
WIN_049,VWAP_reclaim,1578016800000,Long,595.0,4.95,high_atr,2.8,0.15,NY
WIN_050,core_pf12,1578020400000,Long,600.0,5.0,high_atr,2.8,0.15,London
WIN_051,VWAP_reclaim,1578024000000,Long,605.0,5.050000000000001,high_atr,2.8,0.15,NY
WIN_052,core_pf12,1578027600000,Long,610.0,5.1,high_atr,2.8,0.15,London
WIN_053,VWAP_reclaim,1578031200000,Long,615.0,5.15,high_atr,2.8,0.15,NY
WIN_054,core_pf12,1578034800000,Long,620.0,5.2,high_atr,2.8,0.15,London
WIN_055,VWAP_reclaim,1578038400000,Long,625.0,5.25,high_atr,2.8,0.15,NY
WIN_056,core_pf12,1578042000000,Long,630.0,5.300000000000001,high_atr,2.8,0.15,London
WIN_057,VWAP_reclaim,1578045600000,Long,635.0,5.35,high_atr,2.8,0.15,NY
WIN_058,core_pf12,1578049200000,Long,640.0,5.4,high_atr,2.8,0.15,London
WIN_059,VWAP_reclaim,1578052800000,Long,645.0,5.45,high_atr,2.8,0.15,NY
WIN_060,core_pf12,1578056400000,Long,650.0,5.5,high_atr,2.8,0.15,London
WIN_061,VWAP_reclaim,1578060000000,Long,655.0,5.550000000000001,high_atr,2.8,0.15,NY
WIN_062,core_pf12,1578063600000,Long,660.0,5.6,high_atr,2.8,0.15,London
WIN_063,VWAP_reclaim,1578067200000,Long,665.0,5.65,high_atr,2.8,0.15,NY
WIN_064,core_pf12,1578070800000,Long,670.0,5.7,high_atr,2.8,0.15,London
WIN_065,VWAP_reclaim,1578074400000,Long,675.0,5.75,high_atr,2.8,0.15,NY
WIN_066,core_pf12,1578078000000,Long,680.0,5.800000000000001,high_atr,2.8,0.15,London
WIN_067,VWAP_reclaim,1578081600000,Long,685.0,5.85,high_atr,2.8,0.15,NY
WIN_068,core_pf12,1578085200000,Long,690.0,5.9,high_atr,2.8,0.15,London
WIN_069,VWAP_reclaim,1578088800000,Long,695.0,5.95,high_atr,2.8,0.15,NY
WIN_070,core_pf12,1578092400000,Long,700.0,6.0,high_atr,2.8,0.15,London
WIN_071,VWAP_reclaim,1578096000000,Long,705.0,6.050000000000001,high_atr,2.8,0.15,NY
WIN_072,core_pf12,1578099600000,Long,710.0,6.1,high_atr,2.8,0.15,London
WIN_073,VWAP_reclaim,1578103200000,Long,715.0,6.15,high_atr,2.8,0.15,NY
WIN_074,core_pf12,1578106800000,Long,720.0,6.2,high_atr,2.8,0.15,London
WIN_075,VWAP_reclaim,1578110400000,Long,725.0,6.25,high_atr,2.8,0.15,NY
WIN_076,core_pf12,1578114000000,Long,730.0,6.300000000000001,high_atr,2.8,0.15,London
WIN_077,VWAP_reclaim,1578117600000,Long,735.0,6.35,high_atr,2.8,0.15,NY
WIN_078,core_pf12,1578121200000,Long,740.0,6.4,high_atr,2.8,0.15,London
WIN_079,VWAP_reclaim,1578124800000,Long,745.0,6.45,high_atr,2.8,0.15,NY
WIN_080,core_pf12,1578128400000,Long,750.0,6.5,high_atr,2.8,0.15,London
WIN_081,VWAP_reclaim,1578132000000,Long,755.0,6.55,high_atr,2.8,0.15,NY
WIN_082,core_pf12,1578135600000,Long,760.0,6.6000000000000005,high_atr,2.8,0.15,London
WIN_083,VWAP_reclaim,1578139200000,Long,765.0,6.65,high_atr,2.8,0.15,NY
WIN_084,core_pf12,1578142800000,Long,770.0,6.7,high_atr,2.8,0.15,London
WIN_085,VWAP_reclaim,1578146400000,Long,775.0,6.75,high_atr,2.8,0.15,NY
WIN_086,core_pf12,1578150000000,Long,780.0,6.8,high_atr,2.8,0.15,London
WIN_087,VWAP_reclaim,1578153600000,Long,785.0,6.8500000000000005,high_atr,2.8,0.15,NY
WIN_088,core_pf12,1578157200000,Long,790.0,6.9,high_atr,2.8,0.15,London
WIN_089,VWAP_reclaim,1578160800000,Long,795.0,6.95,high_atr,2.8,0.15,NY
WIN_090,core_pf12,1578164400000,Long,800.0,7.0,high_atr,2.8,0.15,London
WIN_091,VWAP_reclaim,1578168000000,Long,805.0,7.05,high_atr,2.8,0.15,NY
WIN_092,core_pf12,1578171600000,Long,810.0,7.1000000000000005,high_atr,2.8,0.15,London
WIN_093,VWAP_reclaim,1578175200000,Long,815.0,7.15,high_atr,2.8,0.15,NY
WIN_094,core_pf12,1578178800000,Long,820.0,7.2,high_atr,2.8,0.15,London
WIN_095,VWAP_reclaim,1578182400000,Long,825.0,7.25,high_atr,2.8,0.15,NY
WIN_096,core_pf12,1578186000000,Long,830.0,7.300000000000001,high_atr,2.8,0.15,London
WIN_097,VWAP_reclaim,1578189600000,Long,835.0,7.3500000000000005,high_atr,2.8,0.15,NY
WIN_098,core_pf12,1578193200000,Long,840.0,7.4,high_atr,2.8,0.15,London
WIN_099,VWAP_reclaim,1578196800000,Long,845.0,7.45,high_atr,2.8,0.15,NY
WIN_100,core_pf12,1578200400000,Long,850.0,7.5,high_atr,2.8,0.15,London
