trade_id,sleeve,pnl,loss_bucket,mae_speed,mfe_before_loss,avoidable
LOSS_037,session_breakout,-194.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_038,second_retest,-196.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_039,session_breakout,-198.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_040,second_retest,-200.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_041,session_breakout,-202.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_042,second_retest,-204.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_043,session_breakout,-206.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_044,second_retest,-208.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_045,session_breakout,-210.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_046,second_retest,-212.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_047,session_breakout,-214.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_048,second_retest,-216.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_049,session_breakout,-218.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_050,second_retest,-220.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_051,session_breakout,-222.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_052,second_retest,-224.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_053,session_breakout,-226.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_054,second_retest,-228.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_055,session_breakout,-230.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_056,second_retest,-232.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_057,session_breakout,-234.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_058,second_retest,-236.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_059,session_breakout,-238.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_060,second_retest,-240.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_061,session_breakout,-242.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_062,second_retest,-244.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_063,session_breakout,-246.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_064,second_retest,-248.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_065,session_breakout,-250.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_066,second_retest,-252.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_067,session_breakout,-254.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_068,second_retest,-256.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_069,session_breakout,-258.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_070,second_retest,-260.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_071,session_breakout,-262.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_072,second_retest,-264.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_073,session_breakout,-266.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_074,second_retest,-268.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_075,session_breakout,-270.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_076,second_retest,-272.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_077,session_breakout,-274.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_078,second_retest,-276.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_079,session_breakout,-278.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_080,second_retest,-280.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_081,session_breakout,-282.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_082,second_retest,-284.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_083,session_breakout,-286.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_084,second_retest,-288.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_085,session_breakout,-290.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_086,second_retest,-292.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_087,session_breakout,-294.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_088,second_retest,-296.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_089,session_breakout,-298.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_090,second_retest,-300.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_091,session_breakout,-302.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_092,second_retest,-304.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_093,session_breakout,-306.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_094,second_retest,-308.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_095,session_breakout,-310.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_096,second_retest,-312.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_097,session_breakout,-314.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_098,second_retest,-316.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_099,session_breakout,-318.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_100,second_retest,-320.0,false_breakout,fast_stop_hit,0.35,NO
