candidate_id,passed_cheap_scan,pnl,pf,dd,status
C25_0051,NO,10145.5,2.018,0.142,REJECTED_UNDER_PF
C25_0052,NO,10266.0,2.036,0.144,REJECTED_UNDER_PF
C25_0053,NO,10386.5,2.054,0.146,REJECTED_UNDER_PF
C25_0054,NO,10507.0,2.072,0.148,REJECTED_UNDER_PF
C25_0055,YES,10627.5,2.09,0.15,PASS
C25_0056,NO,10748.0,2.108,0.152,REJECTED_UNDER_PF
C25_0057,NO,10868.5,2.126,0.154,REJECTED_UNDER_PF
C25_0058,NO,10989.0,2.144,0.156,REJECTED_UNDER_PF
C25_0059,NO,11109.5,2.162,0.158,REJECTED_UNDER_PF
C25_0060,YES,11230.0,2.18,0.16,PASS
C25_0061,NO,11350.5,2.198,0.162,REJECTED_UNDER_PF
C25_0062,NO,11471.0,2.216,0.164,REJECTED_UNDER_PF
C25_0063,NO,11591.5,2.234,0.166,REJECTED_UNDER_PF
C25_0064,NO,11712.0,2.252,0.168,REJECTED_UNDER_PF
C25_0065,YES,11832.5,2.27,0.17,PASS
C25_0066,NO,11953.0,2.288,0.172,REJECTED_UNDER_PF
C25_0067,NO,12073.5,2.306,0.174,REJECTED_UNDER_PF
C25_0068,NO,12194.0,2.324,0.176,REJECTED_UNDER_PF
C25_0069,NO,12314.5,2.342,0.178,REJECTED_UNDER_PF
C25_0070,YES,12435.0,2.36,0.18,PASS
C25_0071,NO,12555.5,2.378,0.182,REJECTED_UNDER_PF
C25_0072,NO,12676.0,2.396,0.184,REJECTED_UNDER_PF
C25_0073,NO,12796.5,2.414,0.186,REJECTED_UNDER_PF
C25_0074,NO,12917.0,2.432,0.188,REJECTED_UNDER_PF
C25_0075,YES,13037.5,2.45,0.19,PASS
C25_0076,NO,13158.0,2.468,0.192,REJECTED_UNDER_PF
C25_0077,NO,13278.5,2.486,0.194,REJECTED_UNDER_PF
C25_0078,NO,13399.0,2.504,0.196,REJECTED_UNDER_PF
C25_0079,NO,13519.5,2.522,0.198,REJECTED_UNDER_PF
C25_0080,YES,13640.0,2.54,0.2,PASS
C25_0081,NO,13760.5,2.558,0.202,REJECTED_UNDER_PF
C25_0082,NO,13881.0,2.576,0.204,REJECTED_UNDER_PF
C25_0083,NO,14001.5,2.594,0.206,REJECTED_UNDER_PF
C25_0084,NO,14122.0,2.612,0.208,REJECTED_UNDER_PF
C25_0085,YES,14242.5,2.63,0.21,PASS
C25_0086,NO,14363.0,2.648,0.212,REJECTED_UNDER_PF
C25_0087,NO,14483.5,2.666,0.214,REJECTED_UNDER_PF
C25_0088,NO,14604.0,2.684,0.216,REJECTED_UNDER_PF
C25_0089,NO,14724.5,2.702,0.218,REJECTED_UNDER_PF
C25_0090,YES,14845.0,2.72,0.22,PASS
C25_0091,NO,14965.5,2.738,0.222,REJECTED_UNDER_PF
C25_0092,NO,15086.0,2.756,0.224,REJECTED_UNDER_PF
C25_0093,NO,15206.5,2.774,0.226,REJECTED_UNDER_PF
C25_0094,NO,15327.0,2.792,0.228,REJECTED_UNDER_PF
C25_0095,YES,15447.5,2.81,0.23,PASS
C25_0096,NO,15568.0,2.828,0.232,REJECTED_UNDER_PF
C25_0097,NO,15688.5,2.846,0.234,REJECTED_UNDER_PF
C25_0098,NO,15809.0,2.864,0.236,REJECTED_UNDER_PF
C25_0099,NO,15929.5,2.882,0.238,REJECTED_UNDER_PF
C25_0100,YES,4000.0,1.1,0.04,PASS
C25_0101,NO,4120.5,1.118,0.042,REJECTED_UNDER_PF
C25_0102,NO,4241.0,1.136,0.044,REJECTED_UNDER_PF
C25_0103,NO,4361.5,1.154,0.046,REJECTED_UNDER_PF
C25_0104,NO,4482.0,1.172,0.048,REJECTED_UNDER_PF
C25_0105,YES,4602.5,1.19,0.05,PASS
C25_0106,NO,4723.0,1.208,0.052,REJECTED_UNDER_PF
C25_0107,NO,4843.5,1.226,0.054,REJECTED_UNDER_PF
C25_0108,NO,4964.0,1.244,0.056,REJECTED_UNDER_PF
C25_0109,NO,5084.5,1.262,0.058,REJECTED_UNDER_PF
C25_0110,YES,5205.0,1.28,0.06,PASS
C25_0111,NO,5325.5,1.298,0.062,REJECTED_UNDER_PF
C25_0112,NO,5446.0,1.316,0.064,REJECTED_UNDER_PF
C25_0113,NO,5566.5,1.334,0.066,REJECTED_UNDER_PF
C25_0114,NO,5687.0,1.352,0.068,REJECTED_UNDER_PF
C25_0115,YES,5807.5,1.37,0.07,PASS
C25_0116,NO,5928.0,1.388,0.072,REJECTED_UNDER_PF
C25_0117,NO,6048.5,1.406,0.074,REJECTED_UNDER_PF
C25_0118,NO,6169.0,1.424,0.076,REJECTED_UNDER_PF
C25_0119,NO,6289.5,1.442,0.078,REJECTED_UNDER_PF
C25_0120,YES,6410.0,1.46,0.08,PASS
C25_0121,NO,6530.5,1.478,0.082,REJECTED_UNDER_PF
C25_0122,NO,6651.0,1.496,0.084,REJECTED_UNDER_PF
C25_0123,NO,6771.5,1.514,0.086,REJECTED_UNDER_PF
C25_0124,NO,6892.0,1.532,0.088,REJECTED_UNDER_PF
C25_0125,YES,7012.5,1.55,0.09,PASS
C25_0126,NO,7133.0,1.568,0.092,REJECTED_UNDER_PF
C25_0127,NO,7253.5,1.586,0.094,REJECTED_UNDER_PF
C25_0128,NO,7374.0,1.604,0.096,REJECTED_UNDER_PF
C25_0129,NO,7494.5,1.622,0.098,REJECTED_UNDER_PF
C25_0130,YES,7615.0,1.64,0.1,PASS
C25_0131,NO,7735.5,1.658,0.102,REJECTED_UNDER_PF
C25_0132,NO,7856.0,1.676,0.104,REJECTED_UNDER_PF
C25_0133,NO,7976.5,1.694,0.106,REJECTED_UNDER_PF
C25_0134,NO,8097.0,1.712,0.108,REJECTED_UNDER_PF
C25_0135,YES,8217.5,1.73,0.11,PASS
C25_0136,NO,8338.0,1.748,0.112,REJECTED_UNDER_PF
C25_0137,NO,8458.5,1.766,0.114,REJECTED_UNDER_PF
C25_0138,NO,8579.0,1.784,0.116,REJECTED_UNDER_PF
C25_0139,NO,8699.5,1.802,0.118,REJECTED_UNDER_PF
C25_0140,YES,8820.0,1.82,0.12,PASS
C25_0141,NO,8940.5,1.838,0.122,REJECTED_UNDER_PF
C25_0142,NO,9061.0,1.856,0.124,REJECTED_UNDER_PF
C25_0143,NO,9181.5,1.874,0.126,REJECTED_UNDER_PF
C25_0144,NO,9302.0,1.892,0.128,REJECTED_UNDER_PF
C25_0145,YES,9422.5,1.91,0.13,PASS
C25_0146,NO,9543.0,1.928,0.132,REJECTED_UNDER_PF
C25_0147,NO,9663.5,1.946,0.134,REJECTED_UNDER_PF
C25_0148,NO,9784.0,1.964,0.136,REJECTED_UNDER_PF
C25_0149,NO,9904.5,1.982,0.138,REJECTED_UNDER_PF
C25_0150,YES,10025.0,2.0,0.14,PASS
C25_0151,NO,10145.5,2.018,0.142,REJECTED_UNDER_PF
C25_0152,NO,10266.0,2.036,0.144,REJECTED_UNDER_PF
C25_0153,NO,10386.5,2.054,0.146,REJECTED_UNDER_PF
C25_0154,NO,10507.0,2.072,0.148,REJECTED_UNDER_PF
C25_0155,YES,10627.5,2.09,0.15,PASS
C25_0156,NO,10748.0,2.108,0.152,REJECTED_UNDER_PF
C25_0157,NO,10868.5,2.126,0.154,REJECTED_UNDER_PF
C25_0158,NO,10989.0,2.144,0.156,REJECTED_UNDER_PF
C25_0159,NO,11109.5,2.162,0.158,REJECTED_UNDER_PF
C25_0160,YES,11230.0,2.18,0.16,PASS
C25_0161,NO,11350.5,2.198,0.162,REJECTED_UNDER_PF
C25_0162,NO,11471.0,2.216,0.164,REJECTED_UNDER_PF
C25_0163,NO,11591.5,2.234,0.166,REJECTED_UNDER_PF
C25_0164,NO,11712.0,2.252,0.168,REJECTED_UNDER_PF
C25_0165,YES,11832.5,2.27,0.17,PASS
C25_0166,NO,11953.0,2.288,0.172,REJECTED_UNDER_PF
C25_0167,NO,12073.5,2.306,0.174,REJECTED_UNDER_PF
C25_0168,NO,12194.0,2.324,0.176,REJECTED_UNDER_PF
C25_0169,NO,12314.5,2.342,0.178,REJECTED_UNDER_PF
C25_0170,YES,12435.0,2.36,0.18,PASS
C25_0171,NO,12555.5,2.378,0.182,REJECTED_UNDER_PF
C25_0172,NO,12676.0,2.396,0.184,REJECTED_UNDER_PF
C25_0173,NO,12796.5,2.414,0.186,REJECTED_UNDER_PF
C25_0174,NO,12917.0,2.432,0.188,REJECTED_UNDER_PF
C25_0175,YES,13037.5,2.45,0.19,PASS
C25_0176,NO,13158.0,2.468,0.192,REJECTED_UNDER_PF
C25_0177,NO,13278.5,2.486,0.194,REJECTED_UNDER_PF
C25_0178,NO,13399.0,2.504,0.196,REJECTED_UNDER_PF
C25_0179,NO,13519.5,2.522,0.198,REJECTED_UNDER_PF
C25_0180,YES,13640.0,2.54,0.2,PASS
C25_0181,NO,13760.5,2.558,0.202,REJECTED_UNDER_PF
C25_0182,NO,13881.0,2.576,0.204,REJECTED_UNDER_PF
C25_0183,NO,14001.5,2.594,0.206,REJECTED_UNDER_PF
C25_0184,NO,14122.0,2.612,0.208,REJECTED_UNDER_PF
C25_0185,YES,14242.5,2.63,0.21,PASS
C25_0186,NO,14363.0,2.648,0.212,REJECTED_UNDER_PF
C25_0187,NO,14483.5,2.666,0.214,REJECTED_UNDER_PF
C25_0188,NO,14604.0,2.684,0.216,REJECTED_UNDER_PF
C25_0189,NO,14724.5,2.702,0.218,REJECTED_UNDER_PF
C25_0190,YES,14845.0,2.72,0.22,PASS
C25_0191,NO,14965.5,2.738,0.222,REJECTED_UNDER_PF
C25_0192,NO,15086.0,2.756,0.224,REJECTED_UNDER_PF
C25_0193,NO,15206.5,2.774,0.226,REJECTED_UNDER_PF
C25_0194,NO,15327.0,2.792,0.228,REJECTED_UNDER_PF
C25_0195,YES,15447.5,2.81,0.23,PASS
C25_0196,NO,15568.0,2.828,0.232,REJECTED_UNDER_PF
C25_0197,NO,15688.5,2.846,0.234,REJECTED_UNDER_PF
C25_0198,NO,15809.0,2.864,0.236,REJECTED_UNDER_PF
C25_0199,NO,15929.5,2.882,0.238,REJECTED_UNDER_PF
C25_0200,YES,4000.0,1.1,0.04,PASS
C25_0201,NO,4120.5,1.118,0.042,REJECTED_UNDER_PF
C25_0202,NO,4241.0,1.136,0.044,REJECTED_UNDER_PF
C25_0203,NO,4361.5,1.154,0.046,REJECTED_UNDER_PF
C25_0204,NO,4482.0,1.172,0.048,REJECTED_UNDER_PF
C25_0205,YES,4602.5,1.19,0.05,PASS
C25_0206,NO,4723.0,1.208,0.052,REJECTED_UNDER_PF
C25_0207,NO,4843.5,1.226,0.054,REJECTED_UNDER_PF
C25_0208,NO,4964.0,1.244,0.056,REJECTED_UNDER_PF
C25_0209,NO,5084.5,1.262,0.058,REJECTED_UNDER_PF
C25_0210,YES,5205.0,1.28,0.06,PASS
C25_0211,NO,5325.5,1.298,0.062,REJECTED_UNDER_PF
C25_0212,NO,5446.0,1.316,0.064,REJECTED_UNDER_PF
C25_0213,NO,5566.5,1.334,0.066,REJECTED_UNDER_PF
C25_0214,NO,5687.0,1.352,0.068,REJECTED_UNDER_PF
C25_0215,YES,5807.5,1.37,0.07,PASS
C25_0216,NO,5928.0,1.388,0.072,REJECTED_UNDER_PF
C25_0217,NO,6048.5,1.406,0.074,REJECTED_UNDER_PF
C25_0218,NO,6169.0,1.424,0.076,REJECTED_UNDER_PF
C25_0219,NO,6289.5,1.442,0.078,REJECTED_UNDER_PF
C25_0220,YES,6410.0,1.46,0.08,PASS
C25_0221,NO,6530.5,1.478,0.082,REJECTED_UNDER_PF
C25_0222,NO,6651.0,1.496,0.084,REJECTED_UNDER_PF
C25_0223,NO,6771.5,1.514,0.086,REJECTED_UNDER_PF
C25_0224,NO,6892.0,1.532,0.088,REJECTED_UNDER_PF
C25_0225,YES,7012.5,1.55,0.09,PASS
C25_0226,NO,7133.0,1.568,0.092,REJECTED_UNDER_PF
C25_0227,NO,7253.5,1.586,0.094,REJECTED_UNDER_PF
C25_0228,NO,7374.0,1.604,0.096,REJECTED_UNDER_PF
C25_0229,NO,7494.5,1.622,0.098,REJECTED_UNDER_PF
C25_0230,YES,7615.0,1.64,0.1,PASS
C25_0231,NO,7735.5,1.658,0.102,REJECTED_UNDER_PF
C25_0232,NO,7856.0,1.676,0.104,REJECTED_UNDER_PF
C25_0233,NO,7976.5,1.694,0.106,REJECTED_UNDER_PF
C25_0234,NO,8097.0,1.712,0.108,REJECTED_UNDER_PF
C25_0235,YES,8217.5,1.73,0.11,PASS
C25_0236,NO,8338.0,1.748,0.112,REJECTED_UNDER_PF
C25_0237,NO,8458.5,1.766,0.114,REJECTED_UNDER_PF
C25_0238,NO,8579.0,1.784,0.116,REJECTED_UNDER_PF
C25_0239,NO,8699.5,1.802,0.118,REJECTED_UNDER_PF
C25_0240,YES,8820.0,1.82,0.12,PASS
C25_0241,NO,8940.5,1.838,0.122,REJECTED_UNDER_PF
C25_0242,NO,9061.0,1.856,0.124,REJECTED_UNDER_PF
C25_0243,NO,9181.5,1.874,0.126,REJECTED_UNDER_PF
C25_0244,NO,9302.0,1.892,0.128,REJECTED_UNDER_PF
C25_0245,YES,9422.5,1.91,0.13,PASS
C25_0246,NO,9543.0,1.928,0.132,REJECTED_UNDER_PF
C25_0247,NO,9663.5,1.946,0.134,REJECTED_UNDER_PF
C25_0248,NO,9784.0,1.964,0.136,REJECTED_UNDER_PF
C25_0249,NO,9904.5,1.982,0.138,REJECTED_UNDER_PF
C25_0250,YES,10025.0,2.0,0.14,PASS
C25_0251,NO,10145.5,2.018,0.142,REJECTED_UNDER_PF
C25_0252,NO,10266.0,2.036,0.144,REJECTED_UNDER_PF
C25_0253,NO,10386.5,2.054,0.146,REJECTED_UNDER_PF
C25_0254,NO,10507.0,2.072,0.148,REJECTED_UNDER_PF
C25_0255,YES,10627.5,2.09,0.15,PASS
C25_0256,NO,10748.0,2.108,0.152,REJECTED_UNDER_PF
C25_0257,NO,10868.5,2.126,0.154,REJECTED_UNDER_PF
C25_0258,NO,10989.0,2.144,0.156,REJECTED_UNDER_PF
C25_0259,NO,11109.5,2.162,0.158,REJECTED_UNDER_PF
C25_0260,YES,11230.0,2.18,0.16,PASS
C25_0261,NO,11350.5,2.198,0.162,REJECTED_UNDER_PF
C25_0262,NO,11471.0,2.216,0.164,REJECTED_UNDER_PF
C25_0263,NO,11591.5,2.234,0.166,REJECTED_UNDER_PF
C25_0264,NO,11712.0,2.252,0.168,REJECTED_UNDER_PF
C25_0265,YES,11832.5,2.27,0.17,PASS
C25_0266,NO,11953.0,2.288,0.172,REJECTED_UNDER_PF
C25_0267,NO,12073.5,2.306,0.174,REJECTED_UNDER_PF
C25_0268,NO,12194.0,2.324,0.176,REJECTED_UNDER_PF
C25_0269,NO,12314.5,2.342,0.178,REJECTED_UNDER_PF
C25_0270,YES,12435.0,2.36,0.18,PASS
C25_0271,NO,12555.5,2.378,0.182,REJECTED_UNDER_PF
C25_0272,NO,12676.0,2.396,0.184,REJECTED_UNDER_PF
C25_0273,NO,12796.5,2.414,0.186,REJECTED_UNDER_PF
C25_0274,NO,12917.0,2.432,0.188,REJECTED_UNDER_PF
C25_0275,YES,13037.5,2.45,0.19,PASS
C25_0276,NO,13158.0,2.468,0.192,REJECTED_UNDER_PF
C25_0277,NO,13278.5,2.486,0.194,REJECTED_UNDER_PF
C25_0278,NO,13399.0,2.504,0.196,REJECTED_UNDER_PF
C25_0279,NO,13519.5,2.522,0.198,REJECTED_UNDER_PF
C25_0280,YES,13640.0,2.54,0.2,PASS
C25_0281,NO,13760.5,2.558,0.202,REJECTED_UNDER_PF
C25_0282,NO,13881.0,2.576,0.204,REJECTED_UNDER_PF
C25_0283,NO,14001.5,2.594,0.206,REJECTED_UNDER_PF
C25_0284,NO,14122.0,2.612,0.208,REJECTED_UNDER_PF
C25_0285,YES,14242.5,2.63,0.21,PASS
C25_0286,NO,14363.0,2.648,0.212,REJECTED_UNDER_PF
C25_0287,NO,14483.5,2.666,0.214,REJECTED_UNDER_PF
C25_0288,NO,14604.0,2.684,0.216,REJECTED_UNDER_PF
C25_0289,NO,14724.5,2.702,0.218,REJECTED_UNDER_PF
C25_0290,YES,14845.0,2.72,0.22,PASS
C25_0291,NO,14965.5,2.738,0.222,REJECTED_UNDER_PF
C25_0292,NO,15086.0,2.756,0.224,REJECTED_UNDER_PF
C25_0293,NO,15206.5,2.774,0.226,REJECTED_UNDER_PF
C25_0294,NO,15327.0,2.792,0.228,REJECTED_UNDER_PF
C25_0295,YES,15447.5,2.81,0.23,PASS
C25_0296,NO,15568.0,2.828,0.232,REJECTED_UNDER_PF
C25_0297,NO,15688.5,2.846,0.234,REJECTED_UNDER_PF
C25_0298,NO,15809.0,2.864,0.236,REJECTED_UNDER_PF
C25_0299,NO,15929.5,2.882,0.238,REJECTED_UNDER_PF
C25_0300,YES,4000.0,1.1,0.04,PASS
C25_0301,NO,4120.5,1.118,0.042,REJECTED_UNDER_PF
C25_0302,NO,4241.0,1.136,0.044,REJECTED_UNDER_PF
C25_0303,NO,4361.5,1.154,0.046,REJECTED_UNDER_PF
C25_0304,NO,4482.0,1.172,0.048,REJECTED_UNDER_PF
C25_0305,YES,4602.5,1.19,0.05,PASS
C25_0306,NO,4723.0,1.208,0.052,REJECTED_UNDER_PF
C25_0307,NO,4843.5,1.226,0.054,REJECTED_UNDER_PF
C25_0308,NO,4964.0,1.244,0.056,REJECTED_UNDER_PF
C25_0309,NO,5084.5,1.262,0.058,REJECTED_UNDER_PF
C25_0310,YES,5205.0,1.28,0.06,PASS
C25_0311,NO,5325.5,1.298,0.062,REJECTED_UNDER_PF
C25_0312,NO,5446.0,1.316,0.064,REJECTED_UNDER_PF
C25_0313,NO,5566.5,1.334,0.066,REJECTED_UNDER_PF
C25_0314,NO,5687.0,1.352,0.068,REJECTED_UNDER_PF
C25_0315,YES,5807.5,1.37,0.07,PASS
C25_0316,NO,5928.0,1.388,0.072,REJECTED_UNDER_PF
C25_0317,NO,6048.5,1.406,0.074,REJECTED_UNDER_PF
C25_0318,NO,6169.0,1.424,0.076,REJECTED_UNDER_PF
C25_0319,NO,6289.5,1.442,0.078,REJECTED_UNDER_PF
C25_0320,YES,6410.0,1.46,0.08,PASS
C25_0321,NO,6530.5,1.478,0.082,REJECTED_UNDER_PF
C25_0322,NO,6651.0,1.496,0.084,REJECTED_UNDER_PF
C25_0323,NO,6771.5,1.514,0.086,REJECTED_UNDER_PF
C25_0324,NO,6892.0,1.532,0.088,REJECTED_UNDER_PF
C25_0325,YES,7012.5,1.55,0.09,PASS
C25_0326,NO,7133.0,1.568,0.092,REJECTED_UNDER_PF
C25_0327,NO,7253.5,1.586,0.094,REJECTED_UNDER_PF
C25_0328,NO,7374.0,1.604,0.096,REJECTED_UNDER_PF
C25_0329,NO,7494.5,1.622,0.098,REJECTED_UNDER_PF
C25_0330,YES,7615.0,1.64,0.1,PASS
C25_0331,NO,7735.5,1.658,0.102,REJECTED_UNDER_PF
C25_0332,NO,7856.0,1.676,0.104,REJECTED_UNDER_PF
C25_0333,NO,7976.5,1.694,0.106,REJECTED_UNDER_PF
C25_0334,NO,8097.0,1.712,0.108,REJECTED_UNDER_PF
C25_0335,YES,8217.5,1.73,0.11,PASS
C25_0336,NO,8338.0,1.748,0.112,REJECTED_UNDER_PF
C25_0337,NO,8458.5,1.766,0.114,REJECTED_UNDER_PF
C25_0338,NO,8579.0,1.784,0.116,REJECTED_UNDER_PF
C25_0339,NO,8699.5,1.802,0.118,REJECTED_UNDER_PF
C25_0340,YES,8820.0,1.82,0.12,PASS
C25_0341,NO,8940.5,1.838,0.122,REJECTED_UNDER_PF
C25_0342,NO,9061.0,1.856,0.124,REJECTED_UNDER_PF
C25_0343,NO,9181.5,1.874,0.126,REJECTED_UNDER_PF
C25_0344,NO,9302.0,1.892,0.128,REJECTED_UNDER_PF
C25_0345,YES,9422.5,1.91,0.13,PASS
C25_0346,NO,9543.0,1.928,0.132,REJECTED_UNDER_PF
C25_0347,NO,9663.5,1.946,0.134,REJECTED_UNDER_PF
C25_0348,NO,9784.0,1.964,0.136,REJECTED_UNDER_PF
C25_0349,NO,9904.5,1.982,0.138,REJECTED_UNDER_PF
C25_0350,YES,10025.0,2.0,0.14,PASS
C25_0351,NO,10145.5,2.018,0.142,REJECTED_UNDER_PF
C25_0352,NO,10266.0,2.036,0.144,REJECTED_UNDER_PF
C25_0353,NO,10386.5,2.054,0.146,REJECTED_UNDER_PF
C25_0354,NO,10507.0,2.072,0.148,REJECTED_UNDER_PF
C25_0355,YES,10627.5,2.09,0.15,PASS
C25_0356,NO,10748.0,2.108,0.152,REJECTED_UNDER_PF
C25_0357,NO,10868.5,2.126,0.154,REJECTED_UNDER_PF
C25_0358,NO,10989.0,2.144,0.156,REJECTED_UNDER_PF
C25_0359,NO,11109.5,2.162,0.158,REJECTED_UNDER_PF
C25_0360,YES,11230.0,2.18,0.16,PASS
C25_0361,NO,11350.5,2.198,0.162,REJECTED_UNDER_PF
C25_0362,NO,11471.0,2.216,0.164,REJECTED_UNDER_PF
C25_0363,NO,11591.5,2.234,0.166,REJECTED_UNDER_PF
C25_0364,NO,11712.0,2.252,0.168,REJECTED_UNDER_PF
C25_0365,YES,11832.5,2.27,0.17,PASS
C25_0366,NO,11953.0,2.288,0.172,REJECTED_UNDER_PF
C25_0367,NO,12073.5,2.306,0.174,REJECTED_UNDER_PF
C25_0368,NO,12194.0,2.324,0.176,REJECTED_UNDER_PF
C25_0369,NO,12314.5,2.342,0.178,REJECTED_UNDER_PF
C25_0370,YES,12435.0,2.36,0.18,PASS
C25_0371,NO,12555.5,2.378,0.182,REJECTED_UNDER_PF
C25_0372,NO,12676.0,2.396,0.184,REJECTED_UNDER_PF
C25_0373,NO,12796.5,2.414,0.186,REJECTED_UNDER_PF
C25_0374,NO,12917.0,2.432,0.188,REJECTED_UNDER_PF
C25_0375,YES,13037.5,2.45,0.19,PASS
C25_0376,NO,13158.0,2.468,0.192,REJECTED_UNDER_PF
C25_0377,NO,13278.5,2.486,0.194,REJECTED_UNDER_PF
C25_0378,NO,13399.0,2.504,0.196,REJECTED_UNDER_PF
C25_0379,NO,13519.5,2.522,0.198,REJECTED_UNDER_PF
C25_0380,YES,13640.0,2.54,0.2,PASS
C25_0381,NO,13760.5,2.558,0.202,REJECTED_UNDER_PF
C25_0382,NO,13881.0,2.576,0.204,REJECTED_UNDER_PF
C25_0383,NO,14001.5,2.594,0.206,REJECTED_UNDER_PF
C25_0384,NO,14122.0,2.612,0.208,REJECTED_UNDER_PF
C25_0385,YES,14242.5,2.63,0.21,PASS
C25_0386,NO,14363.0,2.648,0.212,REJECTED_UNDER_PF
C25_0387,NO,14483.5,2.666,0.214,REJECTED_UNDER_PF
C25_0388,NO,14604.0,2.684,0.216,REJECTED_UNDER_PF
C25_0389,NO,14724.5,2.702,0.218,REJECTED_UNDER_PF
C25_0390,YES,14845.0,2.72,0.22,PASS
C25_0391,NO,14965.5,2.738,0.222,REJECTED_UNDER_PF
C25_0392,NO,15086.0,2.756,0.224,REJECTED_UNDER_PF
C25_0393,NO,15206.5,2.774,0.226,REJECTED_UNDER_PF
C25_0394,NO,15327.0,2.792,0.228,REJECTED_UNDER_PF
C25_0395,YES,15447.5,2.81,0.23,PASS
C25_0396,NO,15568.0,2.828,0.232,REJECTED_UNDER_PF
C25_0397,NO,15688.5,2.846,0.234,REJECTED_UNDER_PF
C25_0398,NO,15809.0,2.864,0.236,REJECTED_UNDER_PF
C25_0399,NO,15929.5,2.882,0.238,REJECTED_UNDER_PF
C25_0400,YES,4000.0,1.1,0.04,PASS
C25_0401,NO,4120.5,1.118,0.042,REJECTED_UNDER_PF
C25_0402,NO,4241.0,1.136,0.044,REJECTED_UNDER_PF
C25_0403,NO,4361.5,1.154,0.046,REJECTED_UNDER_PF
C25_0404,NO,4482.0,1.172,0.048,REJECTED_UNDER_PF
C25_0405,YES,4602.5,1.19,0.05,PASS
C25_0406,NO,4723.0,1.208,0.052,REJECTED_UNDER_PF
C25_0407,NO,4843.5,1.226,0.054,REJECTED_UNDER_PF
C25_0408,NO,4964.0,1.244,0.056,REJECTED_UNDER_PF
C25_0409,NO,5084.5,1.262,0.058,REJECTED_UNDER_PF
C25_0410,YES,5205.0,1.28,0.06,PASS
