workspace,file_path,artifact_type,phase,candidate_logic_found,teacher_only_logic,live_safe_logic,missing_logic,useful_lower_timeframe_artifact,unique_vs_github_checkout
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\handoff.md,report_or_note,,retest;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\progress.md,report_or_note,,retest;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m1_1\handoff.md,report_or_note,,VWAP;funding,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\BRIEFING.md,report_or_note,,ATR;MFE;MAE,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\ORIGINAL_REQUEST.md,report_or_note,,ATR;MFE;MAE,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\handoff.md,report_or_note,,funding;ATR;MFE;MAE;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\progress.md,report_or_note,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\BRIEFING.md,report_or_note,,retest,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\handoff.md,report_or_note,,15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\progress.md,report_or_note,,15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_2\BRIEFING.md,report_or_note,,5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_2\ORIGINAL_REQUEST.md,report_or_note,,ATR;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_3\ORIGINAL_REQUEST.md,report_or_note,,ATR;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_3\handoff.md,report_or_note,,5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.gitignore,other,,5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\ORIGINAL_REQUEST.md,report_or_note,,retest;VWAP;funding;ADX;ATR;MFE;MAE;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\PROMPT_EVOLUTION_LOG.md,report_or_note,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\README.md,report_or_note,,funding;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\RULES_AND_REGULATIONS.md,report_or_note,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\WALKTHROUGH.md,report_or_note,,Variant B;Variant C;Precision Fusion 1.2;MFE;MAE,NO,ANALYSIS_ONLY,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\check_data.py,source,,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\configs\costs.yaml,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\configs\project.yaml,structured_artifact,,15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\configs\stress_tests.yaml,structured_artifact,,15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BNBUSDT_1h_processed.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BTCUSDT_15m_processed.csv,structured_artifact,,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BTCUSDT_1h_processed.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BTCUSDT_5m_processed.csv,structured_artifact,,funding;5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\ETHUSDT_1h_processed.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\SOLUSDT_1h_processed.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BNBUSDT_15m_raw.csv,structured_artifact,,15m;5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BNBUSDT_5m_raw.csv,structured_artifact,,5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BNBUSDT_funding_raw.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BTCUSDT_15m_raw.csv,structured_artifact,,15m;5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BTCUSDT_5m_raw.csv,structured_artifact,,5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BTCUSDT_funding_raw.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\ETHUSDT_15m_raw.csv,structured_artifact,,15m;5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\ETHUSDT_5m_raw.csv,structured_artifact,,5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\ETHUSDT_funding_raw.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\SOLUSDT_15m_raw.csv,structured_artifact,,15m;5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\SOLUSDT_5m_raw.csv,structured_artifact,,5m,NO,ANALYSIS_ONLY,,YES,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\SOLUSDT_funding_raw.csv,structured_artifact,,funding,NO,ANALYSIS_ONLY,,NO,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\distillation_matrices.json,structured_artifact,,funding;ATR;MFE;MAE,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\final_strategy_research_report.md,report_or_note,,VWAP;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\hybrid_sweep_results.csv,structured_artifact,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\research_ideas.json,structured_artifact,,retest;VWAP;funding;ADX;ATR;MFE;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\research_ideas_leaderboard.md,report_or_note,,retest;VWAP;funding;ADX;ATR;MFE;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\trades_dna_floor.csv,structured_artifact,,funding;ADX;ATR;MFE;MAE,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\trades_dna_hybrid.csv,structured_artifact,,funding;ADX;ATR;MFE;MAE,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\walkthrough.md,report_or_note,,Precision Fusion 1.2;retest;funding;ADX;MFE,NO,ANALYSIS_ONLY,exact PF1.2 executable router,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\benchmark.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\calibrate_precision_variants.py,source,,Variant B;Variant C;funding,YES,NO,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\calibrate_precision_with_filtering.py,source,,Variant B;Variant C;funding,YES,NO,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\check_git_status.py,source,,ATR,NO,ANALYSIS_ONLY,,NO,YES
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\diagnose_p8.py,source,,ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\diagnose_parallel_diff.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\diagnose_parallel_stress.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\diagnose_stress_normal.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\distill.py,source,,funding;ADX;ATR;MFE;MAE,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\dynamic_exits_results.md,report_or_note,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\evaluate_all_types.py,source,,retest;VWAP;funding;ADX;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\extract_negative_months.py,source,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\filter_optimization_results.md,report_or_note,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\find_best_hybrid.py,source,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\forensics_matrix.md,report_or_note,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\generate_manifest.py,source,,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\inspect_mock.py,source,,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\month_forensics.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\mp_backtest_test.py,source,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\optimize_other_strats.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\optimize_portfolio_risk.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\print_first_trades.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\profile_backtest.py,source,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\reproduce_baseline_a.py,source,,completed trade;ADX;ATR;15m;5m,YES,NO,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\standalone_results.csv,structured_artifact,,retest;VWAP;funding;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\standalone_results.md,report_or_note,,retest;VWAP;funding;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\sweep_dynamic_exits.py,source,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_distill.py,source,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_diversified_portfolio.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_drop_worst.py,source,,Variant B;Variant C,YES,NO,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_filters.py,source,,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_hybrid_smart.py,source,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_hybrid_v3.py,source,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_live_known_fusions.py,source,,Variant B;Variant C;expected R;funding,YES,NO,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_portfolio_combinations.py,source,,ADX;ATR,NO,YES,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scratch\test_report_details.py,source,,Variant B;Variant C;B rescue;C core;funding,YES,NO,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\scripts\reproduce_champions.py,source,,funding;ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\audit\system_auditor.py,source,,funding,NO,YES,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\backtest\engine.py,source,,funding;ATR;MFE;MAE;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\data\auditor.py,source,,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\data\downloader.py,source,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\data\processor.py,source,,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\features\indicators.py,source,,VWAP;funding;ADX;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\reporting\reporter.py,source,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\idea_engine.py,source,,retest;VWAP;funding;ADX;ATR;MFE;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\runner.py,source,,retest;VWAP;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\strategies\candidates.py,source,,retest;VWAP;funding;ADX;ATR;15m;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\strategies\portfolio.py,source,,VWAP;funding;ATR,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\task.md,report_or_note,,Precision Fusion 1.2;expected R,NO,ANALYSIS_ONLY,exact PF1.2 executable router,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\tests\test_backtest.py,source,,funding;MFE;MAE;15m;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\tests\test_stress_audit.py,source,,funding;15m;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase10_quality_floor_fusion_breakthrough_report.md,report_or_note,phase10,retest;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase10_runner.py,source,phase10,retest;funding;ADX;ATR;15m;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\tests\test_phase10_verification.py,source,phase10,funding;ADX,NO,YES,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase10_1_audit_repair_and_revalidation_report.md,report_or_note,phase10_1,retest;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase10_1_runner.py,source,phase10_1,retest;funding;ADX;ATR;15m;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase11_research_idea_engine_regime_risk_mtf_precision_report.md,report_or_note,phase11,VWAP;funding;ADX;ATR;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase11_runner.py,source,phase11,retest;VWAP;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\tests\test_phase11_verification.py,source,phase11,VWAP;ADX;ATR;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\data_manifest_phase11_1.json,structured_artifact,phase11_1,funding;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase11_1_reproducibility_stress_audit_readiness_report.md,report_or_note,phase11_1,ADX;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase11_1_runner_results.json,structured_artifact,phase11_1,funding;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase11_1_runner.py,source,phase11_1,funding;ADX;ATR;5m,NO,YES,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase12_breakthrough_research_lab_report.md,report_or_note,phase12,VWAP;funding;ADX,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase12_readiness_pack.md,report_or_note,phase12,VWAP;funding;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase12_runner.py,source,phase12,VWAP;funding;ADX;ATR;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase12_1_correction_and_fusion_failure_audit.md,report_or_note,phase12_1,ADX;ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase12_2_filtered_orthogonal_alpha_repair_report.md,report_or_note,phase12_2,VWAP;funding;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase12_2_runner.py,source,phase12_2,VWAP;funding;ADX;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase13_benchmark_breakthrough_mega_search_report.md,report_or_note,phase13,funding;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase13_runner.py,source,phase13,retest;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase14_trade_dna_elite_fusion_breakthrough_report.md,report_or_note,phase14,retest;funding;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\src\research\phase14_runner.py,source,phase14,retest;funding;ADX;ATR;MFE;MAE;5m,YES,NO,,YES,NO
