candidate_id,idea_id,template_type,parameters,no_lookahead_audit_status,execution_status,metric_status
CAND_0018,IDEA_003,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0019,IDEA_004,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0020,IDEA_005,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0021,IDEA_006,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0022,IDEA_007,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0023,IDEA_008,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0024,IDEA_009,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0025,IDEA_010,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0026,IDEA_011,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0027,IDEA_012,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0028,IDEA_013,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0029,IDEA_014,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0030,IDEA_015,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0031,IDEA_001,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0032,IDEA_002,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0033,IDEA_003,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0034,IDEA_004,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0035,IDEA_005,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0036,IDEA_006,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0037,IDEA_007,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0038,IDEA_008,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0039,IDEA_009,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0040,IDEA_010,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0041,IDEA_011,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0042,IDEA_012,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0043,IDEA_013,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0044,IDEA_014,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0045,IDEA_015,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0046,IDEA_001,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0047,IDEA_002,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0048,IDEA_003,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0049,IDEA_004,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0050,IDEA_005,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0051,IDEA_006,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0052,IDEA_007,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0053,IDEA_008,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0054,IDEA_009,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.5, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0055,IDEA_010,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0056,IDEA_011,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0057,IDEA_012,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0058,IDEA_013,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0059,IDEA_014,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0060,IDEA_015,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0061,IDEA_001,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0062,IDEA_002,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0063,IDEA_003,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0064,IDEA_004,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0065,IDEA_005,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0066,IDEA_006,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0067,IDEA_007,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0068,IDEA_008,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0069,IDEA_009,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0070,IDEA_010,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0071,IDEA_011,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0072,IDEA_012,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0073,IDEA_013,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.8, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 25, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
