candidate_id,family,rule,status,pnl,pf,dd
H27_0179,low-liquidity gap guard,expected_R >= 1.79,REJECTED,31320.0,2.353,0.1295
H27_0180,NY breakout hardening,expected_R >= 1.80,REJECTED,31400.0,2.36,0.13
H27_0181,low-liquidity gap guard,expected_R >= 1.81,REJECTED,31480.0,2.367,0.1305
H27_0182,NY breakout hardening,expected_R >= 1.82,REJECTED,31560.0,2.374,0.131
H27_0183,low-liquidity gap guard,expected_R >= 1.83,REJECTED,31640.0,2.381,0.1315
H27_0184,NY breakout hardening,expected_R >= 1.84,REJECTED,31720.0,2.388,0.132
H27_0185,low-liquidity gap guard,expected_R >= 1.85,REJECTED,31800.0,2.395,0.1325
H27_0186,NY breakout hardening,expected_R >= 1.86,REJECTED,31880.0,2.402,0.133
H27_0187,low-liquidity gap guard,expected_R >= 1.87,REJECTED,31960.0,2.409,0.1335
H27_0188,NY breakout hardening,expected_R >= 1.88,REJECTED,32040.0,2.416,0.134
H27_0189,low-liquidity gap guard,expected_R >= 1.89,REJECTED,32120.0,2.423,0.1345
H27_0190,NY breakout hardening,expected_R >= 1.90,REJECTED,32200.0,2.43,0.135
H27_0191,low-liquidity gap guard,expected_R >= 1.91,REJECTED,32280.0,2.437,0.1355
H27_0192,NY breakout hardening,expected_R >= 1.92,REJECTED,32360.0,2.444,0.136
H27_0193,low-liquidity gap guard,expected_R >= 1.93,REJECTED,32440.0,2.451,0.1365
H27_0194,NY breakout hardening,expected_R >= 1.94,REJECTED,32520.0,2.458,0.137
H27_0195,low-liquidity gap guard,expected_R >= 1.95,REJECTED,32600.0,2.465,0.1375
H27_0196,NY breakout hardening,expected_R >= 1.96,REJECTED,32680.0,2.472,0.138
H27_0197,low-liquidity gap guard,expected_R >= 1.97,REJECTED,32760.0,2.479,0.1385
H27_0198,NY breakout hardening,expected_R >= 1.98,REJECTED,32840.0,2.486,0.139
H27_0199,low-liquidity gap guard,expected_R >= 1.99,REJECTED,32920.0,2.493,0.1395
H27_0200,NY breakout hardening,expected_R >= 1.50,PASS,25000.0,1.8,0.09
H27_0201,low-liquidity gap guard,expected_R >= 1.51,REJECTED,25080.0,1.807,0.0905
H27_0202,NY breakout hardening,expected_R >= 1.52,REJECTED,25160.0,1.814,0.091
H27_0203,low-liquidity gap guard,expected_R >= 1.53,REJECTED,25240.0,1.821,0.0915
H27_0204,NY breakout hardening,expected_R >= 1.54,REJECTED,25320.0,1.828,0.092
H27_0205,low-liquidity gap guard,expected_R >= 1.55,REJECTED,25400.0,1.835,0.0925
H27_0206,NY breakout hardening,expected_R >= 1.56,REJECTED,25480.0,1.842,0.093
H27_0207,low-liquidity gap guard,expected_R >= 1.57,REJECTED,25560.0,1.849,0.0935
H27_0208,NY breakout hardening,expected_R >= 1.58,REJECTED,25640.0,1.856,0.094
H27_0209,low-liquidity gap guard,expected_R >= 1.59,REJECTED,25720.0,1.863,0.0945
H27_0210,NY breakout hardening,expected_R >= 1.60,REJECTED,25800.0,1.87,0.095
H27_0211,low-liquidity gap guard,expected_R >= 1.61,REJECTED,25880.0,1.877,0.0955
H27_0212,NY breakout hardening,expected_R >= 1.62,REJECTED,25960.0,1.884,0.096
H27_0213,low-liquidity gap guard,expected_R >= 1.63,REJECTED,26040.0,1.891,0.0965
H27_0214,NY breakout hardening,expected_R >= 1.64,REJECTED,26120.0,1.898,0.097
H27_0215,low-liquidity gap guard,expected_R >= 1.65,REJECTED,26200.0,1.905,0.0975
H27_0216,NY breakout hardening,expected_R >= 1.66,REJECTED,26280.0,1.912,0.098
H27_0217,low-liquidity gap guard,expected_R >= 1.67,REJECTED,26360.0,1.919,0.0985
H27_0218,NY breakout hardening,expected_R >= 1.68,REJECTED,26440.0,1.926,0.099
H27_0219,low-liquidity gap guard,expected_R >= 1.69,REJECTED,26520.0,1.933,0.0995
H27_0220,NY breakout hardening,expected_R >= 1.70,REJECTED,26600.0,1.94,0.1
H27_0221,low-liquidity gap guard,expected_R >= 1.71,REJECTED,26680.0,1.947,0.1005
H27_0222,NY breakout hardening,expected_R >= 1.72,REJECTED,26760.0,1.954,0.101
H27_0223,low-liquidity gap guard,expected_R >= 1.73,REJECTED,26840.0,1.961,0.1015
H27_0224,NY breakout hardening,expected_R >= 1.74,REJECTED,26920.0,1.968,0.102
H27_0225,low-liquidity gap guard,expected_R >= 1.75,PASS,27000.0,1.975,0.1025
H27_0226,NY breakout hardening,expected_R >= 1.76,REJECTED,27080.0,1.982,0.103
H27_0227,low-liquidity gap guard,expected_R >= 1.77,REJECTED,27160.0,1.989,0.1035
H27_0228,NY breakout hardening,expected_R >= 1.78,REJECTED,27240.0,1.996,0.104
H27_0229,low-liquidity gap guard,expected_R >= 1.79,REJECTED,27320.0,2.003,0.1045
H27_0230,NY breakout hardening,expected_R >= 1.80,REJECTED,27400.0,2.01,0.105
H27_0231,low-liquidity gap guard,expected_R >= 1.81,REJECTED,27480.0,2.017,0.1055
H27_0232,NY breakout hardening,expected_R >= 1.82,REJECTED,27560.0,2.024,0.106
H27_0233,low-liquidity gap guard,expected_R >= 1.83,REJECTED,27640.0,2.031,0.1065
H27_0234,NY breakout hardening,expected_R >= 1.84,REJECTED,27720.0,2.038,0.107
H27_0235,low-liquidity gap guard,expected_R >= 1.85,REJECTED,27800.0,2.045,0.1075
H27_0236,NY breakout hardening,expected_R >= 1.86,REJECTED,27880.0,2.052,0.108
H27_0237,low-liquidity gap guard,expected_R >= 1.87,REJECTED,27960.0,2.059,0.1085
H27_0238,NY breakout hardening,expected_R >= 1.88,REJECTED,28040.0,2.066,0.109
H27_0239,low-liquidity gap guard,expected_R >= 1.89,REJECTED,28120.0,2.073,0.1095
H27_0240,NY breakout hardening,expected_R >= 1.90,REJECTED,28200.0,2.08,0.11
H27_0241,low-liquidity gap guard,expected_R >= 1.91,REJECTED,28280.0,2.087,0.1105
H27_0242,NY breakout hardening,expected_R >= 1.92,REJECTED,28360.0,2.094,0.111
H27_0243,low-liquidity gap guard,expected_R >= 1.93,REJECTED,28440.0,2.101,0.1115
H27_0244,NY breakout hardening,expected_R >= 1.94,REJECTED,28520.0,2.108,0.112
H27_0245,low-liquidity gap guard,expected_R >= 1.95,REJECTED,28600.0,2.115,0.1125
H27_0246,NY breakout hardening,expected_R >= 1.96,REJECTED,28680.0,2.122,0.113
H27_0247,low-liquidity gap guard,expected_R >= 1.97,REJECTED,28760.0,2.129,0.1135
H27_0248,NY breakout hardening,expected_R >= 1.98,REJECTED,28840.0,2.136,0.114
H27_0249,low-liquidity gap guard,expected_R >= 1.99,REJECTED,28920.0,2.143,0.1145
H27_0250,NY breakout hardening,expected_R >= 1.50,PASS,29000.0,2.15,0.115
H27_0251,low-liquidity gap guard,expected_R >= 1.51,REJECTED,29080.0,2.157,0.1155
H27_0252,NY breakout hardening,expected_R >= 1.52,REJECTED,29160.0,2.164,0.116
H27_0253,low-liquidity gap guard,expected_R >= 1.53,REJECTED,29240.0,2.171,0.1165
H27_0254,NY breakout hardening,expected_R >= 1.54,REJECTED,29320.0,2.178,0.117
H27_0255,low-liquidity gap guard,expected_R >= 1.55,REJECTED,29400.0,2.185,0.1175
H27_0256,NY breakout hardening,expected_R >= 1.56,REJECTED,29480.0,2.192,0.118
H27_0257,low-liquidity gap guard,expected_R >= 1.57,REJECTED,29560.0,2.199,0.1185
H27_0258,NY breakout hardening,expected_R >= 1.58,REJECTED,29640.0,2.206,0.119
H27_0259,low-liquidity gap guard,expected_R >= 1.59,REJECTED,29720.0,2.213,0.1195
H27_0260,NY breakout hardening,expected_R >= 1.60,REJECTED,29800.0,2.22,0.12
H27_0261,low-liquidity gap guard,expected_R >= 1.61,REJECTED,29880.0,2.227,0.1205
H27_0262,NY breakout hardening,expected_R >= 1.62,REJECTED,29960.0,2.234,0.121
H27_0263,low-liquidity gap guard,expected_R >= 1.63,REJECTED,30040.0,2.241,0.1215
H27_0264,NY breakout hardening,expected_R >= 1.64,REJECTED,30120.0,2.248,0.122
H27_0265,low-liquidity gap guard,expected_R >= 1.65,REJECTED,30200.0,2.255,0.1225
H27_0266,NY breakout hardening,expected_R >= 1.66,REJECTED,30280.0,2.262,0.123
H27_0267,low-liquidity gap guard,expected_R >= 1.67,REJECTED,30360.0,2.269,0.1235
H27_0268,NY breakout hardening,expected_R >= 1.68,REJECTED,30440.0,2.276,0.124
H27_0269,low-liquidity gap guard,expected_R >= 1.69,REJECTED,30520.0,2.283,0.1245
H27_0270,NY breakout hardening,expected_R >= 1.70,REJECTED,30600.0,2.29,0.125
H27_0271,low-liquidity gap guard,expected_R >= 1.71,REJECTED,30680.0,2.297,0.1255
H27_0272,NY breakout hardening,expected_R >= 1.72,REJECTED,30760.0,2.304,0.126
H27_0273,low-liquidity gap guard,expected_R >= 1.73,REJECTED,30840.0,2.311,0.1265
H27_0274,NY breakout hardening,expected_R >= 1.74,REJECTED,30920.0,2.318,0.127
H27_0275,low-liquidity gap guard,expected_R >= 1.75,PASS,31000.0,2.325,0.1275
H27_0276,NY breakout hardening,expected_R >= 1.76,REJECTED,31080.0,2.332,0.128
H27_0277,low-liquidity gap guard,expected_R >= 1.77,REJECTED,31160.0,2.339,0.1285
H27_0278,NY breakout hardening,expected_R >= 1.78,REJECTED,31240.0,2.346,0.129
H27_0279,low-liquidity gap guard,expected_R >= 1.79,REJECTED,31320.0,2.353,0.1295
H27_0280,NY breakout hardening,expected_R >= 1.80,REJECTED,31400.0,2.36,0.13
H27_0281,low-liquidity gap guard,expected_R >= 1.81,REJECTED,31480.0,2.367,0.1305
H27_0282,NY breakout hardening,expected_R >= 1.82,REJECTED,31560.0,2.374,0.131
H27_0283,low-liquidity gap guard,expected_R >= 1.83,REJECTED,31640.0,2.381,0.1315
H27_0284,NY breakout hardening,expected_R >= 1.84,REJECTED,31720.0,2.388,0.132
H27_0285,low-liquidity gap guard,expected_R >= 1.85,REJECTED,31800.0,2.395,0.1325
H27_0286,NY breakout hardening,expected_R >= 1.86,REJECTED,31880.0,2.402,0.133
H27_0287,low-liquidity gap guard,expected_R >= 1.87,REJECTED,31960.0,2.409,0.1335
H27_0288,NY breakout hardening,expected_R >= 1.88,REJECTED,32040.0,2.416,0.134
H27_0289,low-liquidity gap guard,expected_R >= 1.89,REJECTED,32120.0,2.423,0.1345
H27_0290,NY breakout hardening,expected_R >= 1.90,REJECTED,32200.0,2.43,0.135
H27_0291,low-liquidity gap guard,expected_R >= 1.91,REJECTED,32280.0,2.437,0.1355
H27_0292,NY breakout hardening,expected_R >= 1.92,REJECTED,32360.0,2.444,0.136
H27_0293,low-liquidity gap guard,expected_R >= 1.93,REJECTED,32440.0,2.451,0.1365
H27_0294,NY breakout hardening,expected_R >= 1.94,REJECTED,32520.0,2.458,0.137
H27_0295,low-liquidity gap guard,expected_R >= 1.95,REJECTED,32600.0,2.465,0.1375
H27_0296,NY breakout hardening,expected_R >= 1.96,REJECTED,32680.0,2.472,0.138
H27_0297,low-liquidity gap guard,expected_R >= 1.97,REJECTED,32760.0,2.479,0.1385
H27_0298,NY breakout hardening,expected_R >= 1.98,REJECTED,32840.0,2.486,0.139
H27_0299,low-liquidity gap guard,expected_R >= 1.99,REJECTED,32920.0,2.493,0.1395
H27_0300,NY breakout hardening,expected_R >= 1.50,PASS,25000.0,1.8,0.09
