candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_atr,session_mode,skip_same_candle,entry_family,monthly_dd_limit,cost_regime_max
P33_0030,7ba4eef7e8926b73,same_candle_safe,1.2,1.0,,NY_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0031,79204a611f84e90d,low_correlation_complement,1.4,1.0,,NY_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0032,e0a3b7e0965d82b1,high_pf_low_frequency,1.6,1.0,,NY_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0033,6551a24c58d28014,stress_hardened,1.8,1.2,,NY_ONLY,True,floor_low_activity,0.015,NO_EXTREME
P33_0034,4157c308f63d8e06,bollinger_expansion_breakout,2.0,1.2,,NY_ONLY,False,floor_low_activity,0.02,NO_EXTREME
P33_0035,9850559c6aa560bc,mean_reversion,,1.2,0.1,ALL,False,floor_low_activity,0.02,NO_EXTREME
P33_0036,ce87425b940872e2,vwap_reclaim,1.0,,0.1,ALL,False,floor_low_activity,0.02,NO_EXTREME
P33_0037,70980dd67b6538bb,london_breakout,1.2,,0.1,ALL,False,floor_low_activity,0.02,NO_EXTREME
P33_0038,7b5239e359253900,ny_breakout,1.4,,0.1,ALL,False,floor_low_activity,0.02,
P33_0039,4d6ca419b3511912,off_hours_skip,1.6,0.8,0.1,ALL,False,ALL,0.02,
P33_0040,583bdf74c9a21170,funding_safe,1.8,0.8,0.15,ALL,False,ALL,0.02,
P33_0041,c4960d9802aed1d4,low_r_removal,2.0,0.8,0.15,ALL,False,ALL,0.02,
P33_0042,4045cea8d2205b6f,adx_trend,,1.0,0.15,NO_OFF_HOURS,False,ALL,0.02,
P33_0043,c031e96f68a27e51,atr_volatility_expansion,1.0,1.0,0.15,NO_OFF_HOURS,False,ALL,0.02,
P33_0044,9188c06f6548fd42,cost_to_atr,1.2,1.0,0.15,NO_OFF_HOURS,True,ALL,0.02,
P33_0045,e2a9cf627b09ac28,monthly_governor,1.4,1.2,0.2,NO_OFF_HOURS,False,ALL,0.02,
P33_0046,093a263fdc8a33e7,time_stop,1.6,1.2,0.2,NO_OFF_HOURS,False,ALL,0.02,
P33_0047,032df8dde7119a73,same_candle_safe,1.8,1.2,0.2,NO_OFF_HOURS,False,ALL,0.02,
P33_0048,7c6face6d91009a6,low_correlation_complement,2.0,,0.2,NO_OFF_HOURS,False,ALL,0.02,
P33_0049,9afbfe9d0e8893d2,high_pf_low_frequency,,,0.2,LONDON_NY,False,ALL,0.02,
P33_0050,0e88ff843d50163a,stress_hardened,1.0,,0.3,LONDON_NY,False,ALL,0.02,
P33_0051,9b32794c4e2f7ccf,bollinger_expansion_breakout,1.2,0.8,0.3,LONDON_NY,False,ALL,0.03,
P33_0052,ce7ed3055b317ef3,mean_reversion,1.4,0.8,0.3,LONDON_NY,False,bb_expansion,0.03,
P33_0053,f22c35abf13ab8ee,vwap_reclaim,1.6,0.8,0.3,LONDON_NY,False,bb_expansion,0.03,
P33_0054,680a3551b922bb6e,london_breakout,1.8,1.0,0.3,LONDON_NY,False,bb_expansion,0.03,
P33_0055,67e2b1b0e2f3e1d9,ny_breakout,2.0,1.0,0.4,LONDON_NY,True,bb_expansion,0.03,
P33_0056,97521b5b36d9fd9f,off_hours_skip,,1.0,0.4,LONDON_ONLY,False,bb_expansion,0.03,
P33_0057,0521533c0c54ea78,funding_safe,1.0,1.2,0.4,LONDON_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0058,b578d1029582b3a3,low_r_removal,1.2,1.2,0.4,LONDON_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0059,f365b4f955540cac,adx_trend,1.4,1.2,0.4,LONDON_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0060,1cdadc3f13b2b402,atr_volatility_expansion,1.6,,,LONDON_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0061,193a4eeb128fbb29,cost_to_atr,1.8,,,LONDON_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0062,468840dac0f89500,monthly_governor,2.0,,,LONDON_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0063,92e6c29411d491c9,time_stop,,0.8,,NY_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0064,c9b48bda27a7a2b6,same_candle_safe,1.0,0.8,,NY_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0065,11457ad579d07b8a,low_correlation_complement,1.2,0.8,0.1,NY_ONLY,False,floor_low_activity,0.03,NO_EXTREME
P33_0066,940bda9a0f194d45,high_pf_low_frequency,1.4,1.0,0.1,NY_ONLY,True,floor_low_activity,0.03,NO_EXTREME
P33_0067,ac689e641ecd580e,stress_hardened,1.6,1.0,0.1,NY_ONLY,False,floor_low_activity,0.03,NO_EXTREME
P33_0068,c634ee3ecb1f24e2,bollinger_expansion_breakout,1.8,1.0,0.1,NY_ONLY,False,floor_low_activity,0.05,NO_EXTREME
P33_0069,386ae654ed472d68,mean_reversion,2.0,1.2,0.1,NY_ONLY,False,floor_low_activity,0.05,NO_EXTREME
P33_0070,6c1f7731887cfe74,vwap_reclaim,,1.2,0.15,ALL,False,floor_low_activity,0.05,NO_EXTREME
P33_0071,9a231c00e64f93e8,london_breakout,1.0,1.2,0.15,ALL,False,floor_low_activity,0.05,NO_EXTREME
P33_0072,6f45bdf257df609c,ny_breakout,1.2,,0.15,ALL,False,floor_low_activity,0.05,NO_EXTREME
P33_0073,dc9e3f8fc43a9919,off_hours_skip,1.4,,0.15,ALL,False,floor_low_activity,0.05,NO_EXTREME
P33_0074,acf754e859634511,funding_safe,1.6,,0.15,ALL,False,floor_low_activity,0.05,NO_EXTREME
P33_0075,f411a04abcc15dfc,low_r_removal,1.8,0.8,0.2,ALL,False,floor_low_activity,0.05,NO_EXTREME
P33_0076,7b7d853aa45885fc,adx_trend,2.0,0.8,0.2,ALL,False,floor_low_activity,0.05,
P33_0077,28ce7293911481cf,atr_volatility_expansion,,0.8,0.2,NO_OFF_HOURS,True,floor_low_activity,0.05,
P33_0078,80152400e4673b70,cost_to_atr,1.0,1.0,0.2,NO_OFF_HOURS,False,ALL,0.05,
P33_0079,6f85ab7be83acf80,monthly_governor,1.2,1.0,0.2,NO_OFF_HOURS,False,ALL,0.05,
P33_0080,f4f4e0489f9f7b93,time_stop,1.4,1.0,0.3,NO_OFF_HOURS,False,ALL,0.05,
P33_0081,6377a2d9ca99fda3,same_candle_safe,1.6,1.2,0.3,NO_OFF_HOURS,False,ALL,0.05,
P33_0082,c305bbc3d97f92b3,low_correlation_complement,1.8,1.2,0.3,NO_OFF_HOURS,False,ALL,0.05,
P33_0083,4e40a9a3c7759d19,high_pf_low_frequency,2.0,1.2,0.3,NO_OFF_HOURS,False,ALL,0.05,
P33_0084,d0ae29a0b34498cc,stress_hardened,,,0.3,LONDON_NY,False,ALL,0.05,
P33_0085,38a1d231f02164fd,bollinger_expansion_breakout,1.0,,0.4,LONDON_NY,False,ALL,,
P33_0086,51bd676f4c8c6e93,mean_reversion,1.2,,0.4,LONDON_NY,False,ALL,,
P33_0087,50ab5db6231a0a5a,vwap_reclaim,1.4,0.8,0.4,LONDON_NY,False,ALL,,
P33_0088,31a43c034e8229f6,london_breakout,1.6,0.8,0.4,LONDON_NY,True,ALL,,
P33_0089,788c1a2a15661d13,ny_breakout,1.8,0.8,0.4,LONDON_NY,False,ALL,,
P33_0090,9d066095a4addc74,off_hours_skip,2.0,1.0,,LONDON_NY,False,ALL,,
P33_0091,d6b82a9d021132d2,funding_safe,,1.0,,LONDON_ONLY,False,bb_expansion,,
P33_0092,c896340fcadb989b,low_r_removal,1.0,1.0,,LONDON_ONLY,False,bb_expansion,,
P33_0093,2652d935e78d979c,adx_trend,1.2,1.2,,LONDON_ONLY,False,bb_expansion,,
P33_0094,e4e7ab19be5704d8,atr_volatility_expansion,1.4,1.2,,LONDON_ONLY,False,bb_expansion,,
P33_0095,1d008b571048d74b,cost_to_atr,1.6,1.2,0.1,LONDON_ONLY,False,bb_expansion,,NO_EXTREME
P33_0096,59c3d0bb3cf94a34,monthly_governor,1.8,,0.1,LONDON_ONLY,False,bb_expansion,,NO_EXTREME
P33_0097,7f762064fa823d26,time_stop,2.0,,0.1,LONDON_ONLY,False,bb_expansion,,NO_EXTREME
P33_0098,a45fd7ec2a958a79,same_candle_safe,,,0.1,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0099,2ded34bb9e4cde32,low_correlation_complement,1.0,0.8,0.1,NY_ONLY,True,bb_expansion,,NO_EXTREME
P33_0100,69bebae85df55361,high_pf_low_frequency,1.2,0.8,0.15,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0101,c2c5e26b49623fd9,stress_hardened,1.4,0.8,0.15,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0102,02094afe74d89bd2,bollinger_expansion_breakout,1.6,1.0,0.15,NY_ONLY,False,bb_expansion,0.015,NO_EXTREME
P33_0103,8d2385c6a33e5191,mean_reversion,1.8,1.0,0.15,NY_ONLY,False,bb_expansion,0.015,NO_EXTREME
P33_0104,094bdbabc9a7d919,vwap_reclaim,2.0,1.0,0.15,NY_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0105,0107450b2e2d6c90,london_breakout,,1.2,0.2,ALL,False,floor_low_activity,0.015,NO_EXTREME
P33_0106,6728fb55daacb8d8,ny_breakout,1.0,1.2,0.2,ALL,False,floor_low_activity,0.015,NO_EXTREME
P33_0107,ffe4da84e78a0013,off_hours_skip,1.2,1.2,0.2,ALL,False,floor_low_activity,0.015,NO_EXTREME
P33_0108,77164ed0fc3184c4,funding_safe,1.4,,0.2,ALL,False,floor_low_activity,0.015,NO_EXTREME
P33_0109,6a7e4623ae1268fa,low_r_removal,1.6,,0.2,ALL,False,floor_low_activity,0.015,NO_EXTREME
P33_0110,7d629c770b697e8c,adx_trend,1.8,,0.3,ALL,True,floor_low_activity,0.015,NO_EXTREME
P33_0111,6e1b4073759a081a,atr_volatility_expansion,2.0,0.8,0.3,ALL,False,floor_low_activity,0.015,NO_EXTREME
P33_0112,b53e2ecab1abbb41,cost_to_atr,,0.8,0.3,NO_OFF_HOURS,False,floor_low_activity,0.015,NO_EXTREME
P33_0113,a1a0bdb6ea3b4de5,monthly_governor,1.0,0.8,0.3,NO_OFF_HOURS,False,floor_low_activity,0.015,NO_EXTREME
P33_0114,9b3e50df7bf2ff00,time_stop,1.2,1.0,0.3,NO_OFF_HOURS,False,floor_low_activity,0.015,
P33_0115,afc4455f4d14a261,same_candle_safe,1.4,1.0,0.4,NO_OFF_HOURS,False,floor_low_activity,0.015,
P33_0116,1f9cc35c56daa3f9,low_correlation_complement,1.6,1.0,0.4,NO_OFF_HOURS,False,floor_low_activity,0.015,
P33_0117,a7897ffa61bd5291,high_pf_low_frequency,1.8,1.2,0.4,NO_OFF_HOURS,False,ALL,0.015,
P33_0118,05eebfdd65db69ff,stress_hardened,2.0,1.2,0.4,NO_OFF_HOURS,False,ALL,0.015,
P33_0119,c0993bcb6bc2579a,bollinger_expansion_breakout,,1.2,0.4,LONDON_NY,False,ALL,0.02,
P33_0120,514ba54887bf8ac3,mean_reversion,1.0,,,LONDON_NY,False,ALL,0.02,
P33_0121,7608756ecfa38b83,vwap_reclaim,1.2,,,LONDON_NY,True,ALL,0.02,
P33_0122,eb221fdaf74a0e9b,london_breakout,1.4,,,LONDON_NY,False,ALL,0.02,
P33_0123,c0357c36a2d5be57,ny_breakout,1.6,0.8,,LONDON_NY,False,ALL,0.02,
P33_0124,2fe458070dbd5920,off_hours_skip,1.8,0.8,,LONDON_NY,False,ALL,0.02,
P33_0125,c9926176f2e19ddc,funding_safe,2.0,0.8,0.1,LONDON_NY,False,ALL,0.02,
P33_0126,44c9e88452fa6717,low_r_removal,,1.0,0.1,LONDON_ONLY,False,ALL,0.02,
P33_0127,ba237218b823b43c,adx_trend,1.0,1.0,0.1,LONDON_ONLY,False,ALL,0.02,
P33_0128,88a6781e3fab5184,atr_volatility_expansion,1.2,1.0,0.1,LONDON_ONLY,False,ALL,0.02,
P33_0129,65caf73459c63736,cost_to_atr,1.4,1.2,0.1,LONDON_ONLY,False,ALL,0.02,
P33_0130,98afc65c6f6c2696,monthly_governor,1.6,1.2,0.15,LONDON_ONLY,False,bb_expansion,0.02,
P33_0131,c5acd82d049a0130,time_stop,1.8,1.2,0.15,LONDON_ONLY,False,bb_expansion,0.02,
P33_0132,880a40d7c0edf169,same_candle_safe,2.0,,0.15,LONDON_ONLY,True,bb_expansion,0.02,
P33_0133,9221f022ebcfa166,low_correlation_complement,,,0.15,NY_ONLY,False,bb_expansion,0.02,NO_EXTREME
P33_0134,75f9cb76fc898f85,high_pf_low_frequency,1.0,,0.15,NY_ONLY,False,bb_expansion,0.02,NO_EXTREME
P33_0135,e45ffb9048da41b7,stress_hardened,1.2,0.8,0.2,NY_ONLY,False,bb_expansion,0.02,NO_EXTREME
P33_0136,25de4adea7b6918b,bollinger_expansion_breakout,1.4,0.8,0.2,NY_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0137,6d754727f267bd28,mean_reversion,1.6,0.8,0.2,NY_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0138,f5ad2aeba719b19b,vwap_reclaim,1.8,1.0,0.2,NY_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0139,2239eb5a479ca64b,london_breakout,2.0,1.0,0.2,NY_ONLY,False,bb_expansion,0.03,NO_EXTREME
P33_0140,e4ce01c33c6c7842,ny_breakout,,1.0,0.3,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0141,f9a4eb87f3810107,off_hours_skip,1.0,1.2,0.3,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0142,1dec36356d735286,funding_safe,1.2,1.2,0.3,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0143,7ac8fa3345638efd,low_r_removal,1.4,1.2,0.3,ALL,True,floor_low_activity,0.03,NO_EXTREME
P33_0144,742b6f57e2306abb,adx_trend,1.6,,0.3,ALL,False,floor_low_activity,0.03,NO_EXTREME
P33_0145,a4d370bef4c3a3ee,atr_volatility_expansion,1.8,,0.4,ALL,False,floor_low_activity,0.03,NO_EXTREME
P33_0146,e5b777b39c5d4330,cost_to_atr,2.0,,0.4,ALL,False,floor_low_activity,0.03,NO_EXTREME
P33_0147,37beb75ea5198cd8,monthly_governor,,0.8,0.4,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0148,0e1490b7237059f2,time_stop,1.0,0.8,0.4,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0149,e82c613db3f9cc64,same_candle_safe,1.2,0.8,0.4,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0150,12462ba8059c93f4,low_correlation_complement,1.4,1.0,,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0151,ad822533aed2cefc,high_pf_low_frequency,1.6,1.0,,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0152,4a2b75d122e56eee,stress_hardened,1.8,1.0,,NO_OFF_HOURS,False,floor_low_activity,0.03,
P33_0153,af5a200553293b9b,bollinger_expansion_breakout,2.0,1.2,,NO_OFF_HOURS,False,floor_low_activity,0.05,
P33_0154,2d44121d8988a7fc,mean_reversion,,1.2,,LONDON_NY,True,floor_low_activity,0.05,
P33_0155,2c3ae2cd16fe00ee,vwap_reclaim,1.0,1.2,0.1,LONDON_NY,False,floor_low_activity,0.05,
P33_0156,d07b23b5202f4701,london_breakout,1.2,,0.1,LONDON_NY,False,ALL,0.05,
P33_0157,221fc04403c09462,ny_breakout,1.4,,0.1,LONDON_NY,False,ALL,0.05,
P33_0158,f24d34170c9f3318,off_hours_skip,1.6,,0.1,LONDON_NY,False,ALL,0.05,
P33_0159,5a4c8f9a981377e3,funding_safe,1.8,0.8,0.1,LONDON_NY,False,ALL,0.05,
P33_0160,f4d2f18e33cf2c20,low_r_removal,2.0,0.8,0.15,LONDON_NY,False,ALL,0.05,
P33_0161,51b6bd4efb20be1e,adx_trend,,0.8,0.15,LONDON_ONLY,False,ALL,0.05,
P33_0162,ab43326d56e6eadf,atr_volatility_expansion,1.0,1.0,0.15,LONDON_ONLY,False,ALL,0.05,
P33_0163,70f292ae9459df48,cost_to_atr,1.2,1.0,0.15,LONDON_ONLY,False,ALL,0.05,
P33_0164,2a96c8c4538883de,monthly_governor,1.4,1.0,0.15,LONDON_ONLY,False,ALL,0.05,
P33_0165,9e9cad3462f99b5e,time_stop,1.6,1.2,0.2,LONDON_ONLY,True,ALL,0.05,
P33_0166,4a1dcdf35e451e1f,same_candle_safe,1.8,1.2,0.2,LONDON_ONLY,False,ALL,0.05,
P33_0167,d51a18206eb615a5,low_correlation_complement,2.0,1.2,0.2,LONDON_ONLY,False,ALL,0.05,
P33_0168,48c8bfbece909252,high_pf_low_frequency,,,0.2,NY_ONLY,False,ALL,0.05,
P33_0169,943c617ecd629cfc,stress_hardened,1.0,,0.2,NY_ONLY,False,bb_expansion,0.05,
P33_0170,8ecef62d18152e92,bollinger_expansion_breakout,1.2,,0.3,NY_ONLY,False,bb_expansion,,
P33_0171,ec466410fa619a5c,mean_reversion,1.4,0.8,0.3,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0172,d173cfe5725bfd09,vwap_reclaim,1.6,0.8,0.3,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0173,664c9a31be8e68ff,london_breakout,1.8,0.8,0.3,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0174,4f4a2712277db85f,ny_breakout,2.0,1.0,0.3,NY_ONLY,False,bb_expansion,,NO_EXTREME
P33_0175,286ff65c663aa446,off_hours_skip,,1.0,0.4,ALL,False,bb_expansion,,NO_EXTREME
P33_0176,90ee63992ae47dab,funding_safe,1.0,1.0,0.4,ALL,True,bb_expansion,,NO_EXTREME
P33_0177,8fc7bbec7148eb82,low_r_removal,1.2,1.2,0.4,ALL,False,bb_expansion,,NO_EXTREME
P33_0178,ac0edf211ce7dec9,adx_trend,1.4,1.2,0.4,ALL,False,bb_expansion,,NO_EXTREME
P33_0179,08be1ef208ec54f2,atr_volatility_expansion,1.6,1.2,0.4,ALL,False,bb_expansion,,NO_EXTREME
P33_0180,50adbd998d1b7042,cost_to_atr,1.8,,,ALL,False,bb_expansion,,NO_EXTREME
P33_0181,6a17a3818bcb0888,monthly_governor,2.0,,,ALL,False,bb_expansion,,NO_EXTREME
P33_0182,3da84c664274469c,time_stop,,,,NO_OFF_HOURS,False,floor_low_activity,,NO_EXTREME
P33_0183,2be8f7d8c7e03229,same_candle_safe,1.0,0.8,,NO_OFF_HOURS,False,floor_low_activity,,NO_EXTREME
P33_0184,79f88d19d42a1192,low_correlation_complement,1.2,0.8,,NO_OFF_HOURS,False,floor_low_activity,,NO_EXTREME
P33_0185,c126654e49e65b76,high_pf_low_frequency,1.4,0.8,0.1,NO_OFF_HOURS,False,floor_low_activity,,NO_EXTREME
P33_0186,4c5805ffd3b3f3ae,stress_hardened,1.6,1.0,0.1,NO_OFF_HOURS,False,floor_low_activity,,NO_EXTREME
P33_0187,cb497d0220d94a30,bollinger_expansion_breakout,1.8,1.0,0.1,NO_OFF_HOURS,True,floor_low_activity,0.015,NO_EXTREME
P33_0188,758432d9821a991e,mean_reversion,2.0,1.0,0.1,NO_OFF_HOURS,False,floor_low_activity,0.015,NO_EXTREME
P33_0189,08811b4b07389365,vwap_reclaim,,1.2,0.1,LONDON_NY,False,floor_low_activity,0.015,NO_EXTREME
P33_0190,8065cafe76452e03,london_breakout,1.0,1.2,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0191,ce91374201d74b04,ny_breakout,1.2,1.2,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0192,396b4ac287e3a8f5,off_hours_skip,1.4,,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0193,9e79f5557955a4f0,funding_safe,1.6,,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0194,a464c7d99f4bdcaa,low_r_removal,1.8,,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0195,9e3699bf7cc8fc6c,adx_trend,2.0,0.8,0.2,LONDON_NY,False,ALL,0.015,
P33_0196,9473dff6c9ce0b6a,atr_volatility_expansion,,0.8,0.2,LONDON_ONLY,False,ALL,0.015,
P33_0197,f02a8b2eea2b58f8,cost_to_atr,1.0,0.8,0.2,LONDON_ONLY,False,ALL,0.015,
P33_0198,7eaf44f3e6261844,monthly_governor,1.2,1.0,0.2,LONDON_ONLY,True,ALL,0.015,
P33_0199,1ad2d5725f2d982a,time_stop,1.4,1.0,0.2,LONDON_ONLY,False,ALL,0.015,
P33_0200,1bb259bb1f0e4096,same_candle_safe,1.6,1.0,0.3,LONDON_ONLY,False,ALL,0.015,
P33_0201,c98728f18d410c2a,low_correlation_complement,1.8,1.2,0.3,LONDON_ONLY,False,ALL,0.015,
P33_0202,fb0e00a574e53c78,high_pf_low_frequency,2.0,1.2,0.3,LONDON_ONLY,False,ALL,0.015,
P33_0203,8771562bc0a630e5,stress_hardened,,1.2,0.3,NY_ONLY,False,ALL,0.015,
P33_0204,f19676fe9f3fbcfc,bollinger_expansion_breakout,1.0,,0.3,NY_ONLY,False,ALL,0.02,
P33_0205,d1ab12ad56aaddf2,mean_reversion,1.2,,0.4,NY_ONLY,False,ALL,0.02,
P33_0206,11f0beaebded1dc7,vwap_reclaim,1.4,,0.4,NY_ONLY,False,ALL,0.02,
P33_0207,8dd3a5a0b556abbd,london_breakout,1.6,0.8,0.4,NY_ONLY,False,ALL,0.02,
P33_0208,36f06ace4d963228,ny_breakout,1.8,0.8,0.4,NY_ONLY,False,bb_expansion,0.02,
P33_0209,eaa20dfaf5bb60fc,off_hours_skip,2.0,0.8,0.4,NY_ONLY,True,bb_expansion,0.02,NO_EXTREME
P33_0210,3114fee12f1f2a92,funding_safe,,1.0,,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0211,4841ee24ccd6fa53,low_r_removal,1.0,1.0,,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0212,aa954d8d9475cc63,adx_trend,1.2,1.0,,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0213,ffd64efd600ea1e1,atr_volatility_expansion,1.4,1.2,,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0214,b5074b85d4c7a180,cost_to_atr,1.6,1.2,,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0215,8e04ea41166661fd,monthly_governor,1.8,1.2,0.1,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0216,f8c6d0a6f932ebd8,time_stop,2.0,,0.1,ALL,False,bb_expansion,0.02,NO_EXTREME
P33_0217,85354b47ef55e827,same_candle_safe,,,0.1,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0218,04df3b1aa093a1a6,low_correlation_complement,1.0,,0.1,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0219,2a864b74302a181c,high_pf_low_frequency,1.2,0.8,0.1,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0220,0ee3d4b7e341616d,stress_hardened,1.4,0.8,0.15,NO_OFF_HOURS,True,bb_expansion,0.02,NO_EXTREME
P33_0221,5c1fd9fa7157c728,bollinger_expansion_breakout,1.6,0.8,0.15,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0222,0c0935ed4f59b701,mean_reversion,1.8,1.0,0.15,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0223,bb32fd4ef7e5a9ec,vwap_reclaim,2.0,1.0,0.15,NO_OFF_HOURS,False,floor_low_activity,0.03,NO_EXTREME
P33_0224,ad6883cbd9305964,london_breakout,,1.0,0.15,LONDON_NY,False,floor_low_activity,0.03,NO_EXTREME
P33_0225,9bd0d29721e6bf0c,ny_breakout,1.0,1.2,0.2,LONDON_NY,False,floor_low_activity,0.03,NO_EXTREME
