candidate_id,candidate_hash,family,template_type,min_expected_r,min_adx,max_funding_abs,min_15m_body,min_5m_wick,session_mode,require_5m_vwap_reclaim,trail_atr_mult,breakeven_atr_mult,time_stop
P295_00023,a4e0e270f0ed8e1f,dirty_pf8_pruning,breakout_retest,1.4,12,0.00025,0.5,0.4,all,False,1.5,1.2,48
P295_00024,02896cfcbdf700c3,vwap_reclaim,breakout_retest,1.55,14,0.00025,0.5,0.4,london_ny,True,,,
P295_00025,8a4f7d8389980cec,second_retest,breakout_retest,1.1,14,0.00035,0.5,0.4,tokyo_london,False,1.2,,
P295_00026,69f3f32ab9c64677,london_tokyo,breakout_retest,1.2,14,0.00035,0.5,0.4,all,False,1.5,0.8,
P295_00027,4c185b0f39ec476f,expected_r,breakout_retest,1.3,16,0.00035,0.5,0.4,london_ny,False,,0.8,
P295_00028,2bcce02d46be85e0,funding_ny_hardening,breakout_retest,1.4,16,0.00035,0.2,0.4,tokyo_london,True,1.2,1.2,24
P295_00029,be66eee6eaea2422,exit_risk,breakout_retest,1.55,16,0.00035,0.2,0.4,all,False,1.5,1.2,24
P295_00030,28e385f3568090b8,variant_c_mtf,vwap_reclaim_continuation,1.1,18,0.00045,0.2,0.4,london_ny,False,,,24
P295_00031,5c5b11d1dd612c2b,variant_b_rescue_mtf,vwap_reclaim_continuation,1.2,18,0.00045,0.2,0.4,tokyo_london,False,1.2,,24
P295_00032,bb9d378e8805e1be,pf12_fusion_mtf,vwap_reclaim_continuation,1.3,18,0.00045,0.2,0.4,all,True,1.5,0.8,48
P295_00033,b22f5ff208916d8d,dirty_pf8_pruning,vwap_reclaim_continuation,1.4,20,0.00045,0.2,0.5,london_ny,False,,0.8,48
P295_00034,d85fbf8258a91dfe,vwap_reclaim,vwap_reclaim_continuation,1.55,20,0.00045,0.2,0.5,tokyo_london,False,1.2,1.2,48
P295_00035,56ed24f06f2830f9,second_retest,vwap_reclaim_continuation,1.1,20,0.0006,0.3,0.5,all,False,1.5,1.2,48
P295_00036,2a04b56df68b3bc4,london_tokyo,vwap_reclaim_continuation,1.2,10,0.0006,0.3,0.5,london_ny,True,,,
P295_00037,1e9953761f6118be,expected_r,vwap_reclaim_continuation,1.3,10,0.0006,0.3,0.5,tokyo_london,False,1.2,,
P295_00038,683cc2361bcdc34f,funding_ny_hardening,vwap_reclaim_continuation,1.4,10,0.0006,0.3,0.5,all,False,1.5,0.8,
P295_00039,a1ac18cb009a2a40,exit_risk,vwap_reclaim_continuation,1.55,12,0.0006,0.3,0.5,london_ny,False,,0.8,
P295_00040,9a5b8e278bf8b2e5,variant_c_mtf,london_continuation,1.1,12,0.00025,0.3,0.5,tokyo_london,True,1.2,1.2,24
P295_00041,ba6759fd1717676f,variant_b_rescue_mtf,london_continuation,1.2,12,0.00025,0.3,0.5,all,False,1.5,1.2,24
P295_00042,4b1cbda0185ced75,pf12_fusion_mtf,london_continuation,1.3,14,0.00025,0.4,0.5,london_ny,False,,,24
P295_00043,ea3b52a6e1c353bd,dirty_pf8_pruning,london_continuation,1.4,14,0.00025,0.4,0.5,tokyo_london,False,1.2,,24
P295_00044,dd83b307bf946761,vwap_reclaim,london_continuation,1.55,14,0.00025,0.4,0.2,all,True,1.5,0.8,48
P295_00045,3b90eec9b46f11bc,second_retest,london_continuation,1.1,16,0.00035,0.4,0.2,london_ny,False,,0.8,48
P295_00046,992a0ec7c8a5dc8c,london_tokyo,london_continuation,1.2,16,0.00035,0.4,0.2,tokyo_london,False,1.2,1.2,48
P295_00047,51c5d8f610d2da13,expected_r,london_continuation,1.3,16,0.00035,0.4,0.2,all,False,1.5,1.2,48
P295_00048,8eac3b6c0a3ebb21,funding_ny_hardening,london_continuation,1.4,18,0.00035,0.4,0.2,london_ny,True,,,
P295_00049,590c4803de8df418,exit_risk,london_continuation,1.55,18,0.00035,0.5,0.2,tokyo_london,False,1.2,,
P295_00050,36df6281e5eb2cd2,variant_c_mtf,asia_range_breakout,1.1,18,0.00045,0.5,0.2,all,False,1.5,0.8,
P295_00051,5321603227724dc0,variant_b_rescue_mtf,asia_range_breakout,1.2,20,0.00045,0.5,0.2,london_ny,False,,0.8,
P295_00052,4a28086e35fd2675,pf12_fusion_mtf,asia_range_breakout,1.3,20,0.00045,0.5,0.2,tokyo_london,True,1.2,1.2,24
P295_00053,1f78ef76021f0e92,dirty_pf8_pruning,asia_range_breakout,1.4,20,0.00045,0.5,0.2,all,False,1.5,1.2,24
P295_00054,bfc311bb8e3c116e,vwap_reclaim,asia_range_breakout,1.55,10,0.00045,0.5,0.2,london_ny,False,,,24
P295_00055,7fad2de9071fff6f,second_retest,asia_range_breakout,1.1,10,0.0006,0.5,0.3,tokyo_london,False,1.2,,24
P295_00056,889cc657b9ccf558,london_tokyo,asia_range_breakout,1.2,10,0.0006,0.2,0.3,all,True,1.5,0.8,48
P295_00057,378a66e4a2ddb2e8,expected_r,asia_range_breakout,1.3,12,0.0006,0.2,0.3,london_ny,False,,0.8,48
P295_00058,a7988f855f21edd3,funding_ny_hardening,asia_range_breakout,1.4,12,0.0006,0.2,0.3,tokyo_london,False,1.2,1.2,48
P295_00059,f5ed1340b1c6449a,exit_risk,asia_range_breakout,1.55,12,0.0006,0.2,0.3,all,False,1.5,1.2,48
P295_00060,db3e791e64783513,variant_c_mtf,pullback_after_impulse,1.1,14,0.00025,0.2,0.3,london_ny,True,,,
P295_00061,443aeb34d0937365,variant_b_rescue_mtf,pullback_after_impulse,1.2,14,0.00025,0.2,0.3,tokyo_london,False,1.2,,
P295_00062,b6843e1baba8d491,pf12_fusion_mtf,pullback_after_impulse,1.3,14,0.00025,0.2,0.3,all,False,1.5,0.8,
P295_00063,e504f6e24e4429fe,dirty_pf8_pruning,pullback_after_impulse,1.4,16,0.00025,0.3,0.3,london_ny,False,,0.8,
P295_00064,0b11138cbd3c83d5,vwap_reclaim,pullback_after_impulse,1.55,16,0.00025,0.3,0.3,tokyo_london,True,1.2,1.2,24
P295_00065,258a10d8fe526f3a,second_retest,pullback_after_impulse,1.1,16,0.00035,0.3,0.3,all,False,1.5,1.2,24
P295_00066,aad2e85f9a255161,london_tokyo,pullback_after_impulse,1.2,18,0.00035,0.3,0.4,london_ny,False,,,24
P295_00067,5d20722eed6cb5e9,expected_r,pullback_after_impulse,1.3,18,0.00035,0.3,0.4,tokyo_london,False,1.2,,24
P295_00068,c1afd0810f1c1b5f,funding_ny_hardening,pullback_after_impulse,1.4,18,0.00035,0.3,0.4,all,True,1.5,0.8,48
P295_00069,716646fd4d9cec0e,exit_risk,pullback_after_impulse,1.55,20,0.00035,0.3,0.4,london_ny,False,,0.8,48
P295_00070,4d03cb07db0e5cf9,variant_c_mtf,hh_hl_continuation,1.1,20,0.00045,0.4,0.4,tokyo_london,False,1.2,1.2,48
P295_00071,015597f4b3b1cc5a,variant_b_rescue_mtf,hh_hl_continuation,1.2,20,0.00045,0.4,0.4,all,False,1.5,1.2,48
P295_00072,9ecf869c8d8954c0,pf12_fusion_mtf,hh_hl_continuation,1.3,10,0.00045,0.4,0.4,london_ny,True,,,
P295_00073,4d4307218d83fe40,dirty_pf8_pruning,hh_hl_continuation,1.4,10,0.00045,0.4,0.4,tokyo_london,False,1.2,,
P295_00074,f11c68f61d56ea43,vwap_reclaim,hh_hl_continuation,1.55,10,0.00045,0.4,0.4,all,False,1.5,0.8,
P295_00075,da1a12521ff41e25,second_retest,hh_hl_continuation,1.1,12,0.0006,0.4,0.4,london_ny,False,,0.8,
P295_00076,20126ff4098081dc,london_tokyo,hh_hl_continuation,1.2,12,0.0006,0.4,0.4,tokyo_london,True,1.2,1.2,24
P295_00077,f88d0d0ed9f40972,expected_r,hh_hl_continuation,1.3,12,0.0006,0.5,0.5,all,False,1.5,1.2,24
P295_00078,f37d83057607a222,funding_ny_hardening,hh_hl_continuation,1.4,14,0.0006,0.5,0.5,london_ny,False,,,24
P295_00079,662bb8694c9418ab,exit_risk,hh_hl_continuation,1.55,14,0.0006,0.5,0.5,tokyo_london,False,1.2,,24
P295_00080,d2395683ae47b37d,variant_c_mtf,bollinger_expansion_breakout,1.1,14,0.00025,0.5,0.5,all,True,1.5,0.8,48
P295_00081,2892a64d804ef857,variant_b_rescue_mtf,bollinger_expansion_breakout,1.2,16,0.00025,0.5,0.5,london_ny,False,,0.8,48
P295_00082,8ad0976d28caf493,pf12_fusion_mtf,bollinger_expansion_breakout,1.3,16,0.00025,0.5,0.5,tokyo_london,False,1.2,1.2,48
P295_00083,c7ec6fca0727866f,dirty_pf8_pruning,bollinger_expansion_breakout,1.4,16,0.00025,0.5,0.5,all,False,1.5,1.2,48
P295_00084,c143e6b0f6be674c,vwap_reclaim,bollinger_expansion_breakout,1.55,18,0.00025,0.2,0.5,london_ny,True,,,
P295_00085,7962d019a6b4cf0b,second_retest,bollinger_expansion_breakout,1.1,18,0.00035,0.2,0.5,tokyo_london,False,1.2,,
P295_00086,46c37979d0a1ce98,london_tokyo,bollinger_expansion_breakout,1.2,18,0.00035,0.2,0.5,all,False,1.5,0.8,
P295_00087,bdec26e16052db78,expected_r,bollinger_expansion_breakout,1.3,20,0.00035,0.2,0.5,london_ny,False,,0.8,
P295_00088,5eb644e34725bdb3,funding_ny_hardening,bollinger_expansion_breakout,1.4,20,0.00035,0.2,0.2,tokyo_london,True,1.2,1.2,24
P295_00089,9b27d5428a0c2be7,exit_risk,bollinger_expansion_breakout,1.55,20,0.00035,0.2,0.2,all,False,1.5,1.2,24
P295_00090,561401023b3131a9,variant_c_mtf,atr_volatility_expansion,1.1,10,0.00045,0.2,0.2,london_ny,False,,,24
P295_00091,a5a82722ba9fdd21,variant_b_rescue_mtf,atr_volatility_expansion,1.2,10,0.00045,0.3,0.2,tokyo_london,False,1.2,,24
P295_00092,142d46d90fc07628,pf12_fusion_mtf,atr_volatility_expansion,1.3,10,0.00045,0.3,0.2,all,True,1.5,0.8,48
P295_00093,922cc123be27f3f9,dirty_pf8_pruning,atr_volatility_expansion,1.4,12,0.00045,0.3,0.2,london_ny,False,,0.8,48
P295_00094,f75dcbf22bf0eb5c,vwap_reclaim,atr_volatility_expansion,1.55,12,0.00045,0.3,0.2,tokyo_london,False,1.2,1.2,48
P295_00095,bd3d631df79fa9c0,second_retest,atr_volatility_expansion,1.1,12,0.0006,0.3,0.2,all,False,1.5,1.2,48
P295_00096,9170e8f47b30e09a,london_tokyo,atr_volatility_expansion,1.2,14,0.0006,0.3,0.2,london_ny,True,,,
P295_00097,f76e032c6af51fb2,expected_r,atr_volatility_expansion,1.3,14,0.0006,0.3,0.2,tokyo_london,False,1.2,,
P295_00098,4dc17a291a5cf84e,funding_ny_hardening,atr_volatility_expansion,1.4,14,0.0006,0.4,0.2,all,False,1.5,0.8,
P295_00099,4ad09cd5c31da624,exit_risk,atr_volatility_expansion,1.55,16,0.0006,0.4,0.3,london_ny,False,,0.8,
P295_00100,624a46368badee93,variant_c_mtf,breakout_retest,1.1,16,0.00025,0.4,0.3,tokyo_london,True,1.2,1.2,24
P295_00101,0a315f297deea3b7,variant_b_rescue_mtf,breakout_retest,1.2,16,0.00025,0.4,0.3,all,False,1.5,1.2,24
P295_00102,f41d28e34fb807a6,pf12_fusion_mtf,breakout_retest,1.3,18,0.00025,0.4,0.3,london_ny,False,,,24
P295_00103,1f033b998081c14e,dirty_pf8_pruning,breakout_retest,1.4,18,0.00025,0.4,0.3,tokyo_london,False,1.2,,24
P295_00104,3e426e8840ea3ec1,vwap_reclaim,breakout_retest,1.55,18,0.00025,0.4,0.3,all,True,1.5,0.8,48
P295_00105,750425092abd5dfb,second_retest,breakout_retest,1.1,20,0.00035,0.5,0.3,london_ny,False,,0.8,48
P295_00106,531a9b22a445922e,london_tokyo,breakout_retest,1.2,20,0.00035,0.5,0.3,tokyo_london,False,1.2,1.2,48
P295_00107,972b3bb76346c18c,expected_r,breakout_retest,1.3,20,0.00035,0.5,0.3,all,False,1.5,1.2,48
P295_00108,e5485bcdf1d86d2a,funding_ny_hardening,breakout_retest,1.4,10,0.00035,0.5,0.3,london_ny,True,,,
P295_00109,202cb3600d8b4fbe,exit_risk,breakout_retest,1.55,10,0.00035,0.5,0.3,tokyo_london,False,1.2,,
P295_00110,5dfc4b3dcb5f160e,variant_c_mtf,vwap_reclaim_continuation,1.1,10,0.00045,0.5,0.4,all,False,1.5,0.8,
P295_00111,5859fbdacc479686,variant_b_rescue_mtf,vwap_reclaim_continuation,1.2,12,0.00045,0.5,0.4,london_ny,False,,0.8,
P295_00112,346607fe23918df7,pf12_fusion_mtf,vwap_reclaim_continuation,1.3,12,0.00045,0.2,0.4,tokyo_london,True,1.2,1.2,24
P295_00113,9a65ddc498e807b1,dirty_pf8_pruning,vwap_reclaim_continuation,1.4,12,0.00045,0.2,0.4,all,False,1.5,1.2,24
P295_00114,e3abd4e7b5f55995,vwap_reclaim,vwap_reclaim_continuation,1.55,14,0.00045,0.2,0.4,london_ny,False,,,24
P295_00115,368ffaec305035af,second_retest,vwap_reclaim_continuation,1.1,14,0.0006,0.2,0.4,tokyo_london,False,1.2,,24
P295_00116,17163c9c1eee0e5f,london_tokyo,vwap_reclaim_continuation,1.2,14,0.0006,0.2,0.4,all,True,1.5,0.8,48
P295_00117,35650137d88d2f3d,expected_r,vwap_reclaim_continuation,1.3,16,0.0006,0.2,0.4,london_ny,False,,0.8,48
P295_00118,6b09ad2c63ff80cc,funding_ny_hardening,vwap_reclaim_continuation,1.4,16,0.0006,0.2,0.4,tokyo_london,False,1.2,1.2,48
P295_00119,21230b90edec5ef4,exit_risk,vwap_reclaim_continuation,1.55,16,0.0006,0.3,0.4,all,False,1.5,1.2,48
P295_00120,a3a362da8db800f2,variant_c_mtf,london_continuation,1.1,18,0.00025,0.3,0.4,london_ny,True,,,
P295_00121,07576f887cad8c73,variant_b_rescue_mtf,london_continuation,1.2,18,0.00025,0.3,0.5,tokyo_london,False,1.2,,
P295_00122,311caf390e66733f,pf12_fusion_mtf,london_continuation,1.3,18,0.00025,0.3,0.5,all,False,1.5,0.8,
P295_00123,2b4f0214412470af,dirty_pf8_pruning,london_continuation,1.4,20,0.00025,0.3,0.5,london_ny,False,,0.8,
P295_00124,a975a333247b9662,vwap_reclaim,london_continuation,1.55,20,0.00025,0.3,0.5,tokyo_london,True,1.2,1.2,24
P295_00125,c4037c384a8f39b5,second_retest,london_continuation,1.1,20,0.00035,0.3,0.5,all,False,1.5,1.2,24
P295_00126,a93ca6164cc05eb5,london_tokyo,london_continuation,1.2,10,0.00035,0.4,0.5,london_ny,False,,,24
P295_00127,cdb755da94a7e8b3,expected_r,london_continuation,1.3,10,0.00035,0.4,0.5,tokyo_london,False,1.2,,24
P295_00128,1d4f03a87acd4f7e,funding_ny_hardening,london_continuation,1.4,10,0.00035,0.4,0.5,all,True,1.5,0.8,48
P295_00129,c3621302606a3286,exit_risk,london_continuation,1.55,12,0.00035,0.4,0.5,london_ny,False,,0.8,48
P295_00130,624231a754e74d9e,variant_c_mtf,asia_range_breakout,1.1,12,0.00045,0.4,0.5,tokyo_london,False,1.2,1.2,48
P295_00131,97a7722edd614b2d,variant_b_rescue_mtf,asia_range_breakout,1.2,12,0.00045,0.4,0.5,all,False,1.5,1.2,48
P295_00132,2c0e261bd5773a0a,pf12_fusion_mtf,asia_range_breakout,1.3,14,0.00045,0.4,0.2,london_ny,True,,,
P295_00133,b5ea61b198c24a35,dirty_pf8_pruning,asia_range_breakout,1.4,14,0.00045,0.5,0.2,tokyo_london,False,1.2,,
P295_00134,bac5f807b57b830f,vwap_reclaim,asia_range_breakout,1.55,14,0.00045,0.5,0.2,all,False,1.5,0.8,
P295_00135,a0d7726ad793b556,second_retest,asia_range_breakout,1.1,16,0.0006,0.5,0.2,london_ny,False,,0.8,
P295_00136,f33fd3d9466de7a0,london_tokyo,asia_range_breakout,1.2,16,0.0006,0.5,0.2,tokyo_london,True,1.2,1.2,24
P295_00137,a77d29bf1307e0ea,expected_r,asia_range_breakout,1.3,16,0.0006,0.5,0.2,all,False,1.5,1.2,24
P295_00138,88414e998bbd1a03,funding_ny_hardening,asia_range_breakout,1.4,18,0.0006,0.5,0.2,london_ny,False,,,24
P295_00139,cfabe9807613137e,exit_risk,asia_range_breakout,1.55,18,0.0006,0.5,0.2,tokyo_london,False,1.2,,24
P295_00140,faeea3da6acc2c63,variant_c_mtf,pullback_after_impulse,1.1,18,0.00025,0.2,0.2,all,True,1.5,0.8,48
P295_00141,ecf5a061d7c81f6b,variant_b_rescue_mtf,pullback_after_impulse,1.2,20,0.00025,0.2,0.2,london_ny,False,,0.8,48
P295_00142,4b94245bcadf8013,pf12_fusion_mtf,pullback_after_impulse,1.3,20,0.00025,0.2,0.2,tokyo_london,False,1.2,1.2,48
P295_00143,c0bc3ee8edb3a639,dirty_pf8_pruning,pullback_after_impulse,1.4,20,0.00025,0.2,0.3,all,False,1.5,1.2,48
P295_00144,ce8021760fb3abf4,vwap_reclaim,pullback_after_impulse,1.55,10,0.00025,0.2,0.3,london_ny,True,,,
P295_00145,b2331d3cf2e76076,second_retest,pullback_after_impulse,1.1,10,0.00035,0.2,0.3,tokyo_london,False,1.2,,
P295_00146,f9451f22a0ec67cd,london_tokyo,pullback_after_impulse,1.2,10,0.00035,0.2,0.3,all,False,1.5,0.8,
P295_00147,6c5463895bfcb59e,expected_r,pullback_after_impulse,1.3,12,0.00035,0.3,0.3,london_ny,False,,0.8,
P295_00148,ae1b81dcd547fe6b,funding_ny_hardening,pullback_after_impulse,1.4,12,0.00035,0.3,0.3,tokyo_london,True,1.2,1.2,24
P295_00149,e04b9e020e03ab60,exit_risk,pullback_after_impulse,1.55,12,0.00035,0.3,0.3,all,False,1.5,1.2,24
P295_00150,a759a23d08f83976,variant_c_mtf,hh_hl_continuation,1.1,14,0.00045,0.3,0.3,london_ny,False,,,24
P295_00151,bc2b60d74104f310,variant_b_rescue_mtf,hh_hl_continuation,1.2,14,0.00045,0.3,0.3,tokyo_london,False,1.2,,24
P295_00152,020d6d5cf0b8594c,pf12_fusion_mtf,hh_hl_continuation,1.3,14,0.00045,0.3,0.3,all,True,1.5,0.8,48
P295_00153,b8b1acbc473026d9,dirty_pf8_pruning,hh_hl_continuation,1.4,16,0.00045,0.3,0.3,london_ny,False,,0.8,48
P295_00154,4d84d401da6664d6,vwap_reclaim,hh_hl_continuation,1.55,16,0.00045,0.4,0.4,tokyo_london,False,1.2,1.2,48
P295_00155,bd121f8fe813754c,second_retest,hh_hl_continuation,1.1,16,0.0006,0.4,0.4,all,False,1.5,1.2,48
P295_00156,cd30d518dae5981c,london_tokyo,hh_hl_continuation,1.2,18,0.0006,0.4,0.4,london_ny,True,,,
P295_00157,0f2eee1bae34ad83,expected_r,hh_hl_continuation,1.3,18,0.0006,0.4,0.4,tokyo_london,False,1.2,,
P295_00158,44d317b3a7f82a7f,funding_ny_hardening,hh_hl_continuation,1.4,18,0.0006,0.4,0.4,all,False,1.5,0.8,
P295_00159,1102e8830afc7304,exit_risk,hh_hl_continuation,1.55,20,0.0006,0.4,0.4,london_ny,False,,0.8,
P295_00160,cf34b138ec013734,variant_c_mtf,bollinger_expansion_breakout,1.1,20,0.00025,0.4,0.4,tokyo_london,True,1.2,1.2,24
P295_00161,b55c404904ae9788,variant_b_rescue_mtf,bollinger_expansion_breakout,1.2,20,0.00025,0.5,0.4,all,False,1.5,1.2,24
P295_00162,5ab6f3964dc42547,pf12_fusion_mtf,bollinger_expansion_breakout,1.3,10,0.00025,0.5,0.4,london_ny,False,,,24
P295_00163,59eab3c18157752e,dirty_pf8_pruning,bollinger_expansion_breakout,1.4,10,0.00025,0.5,0.4,tokyo_london,False,1.2,,24
P295_00164,34d792706019c2b8,vwap_reclaim,bollinger_expansion_breakout,1.55,10,0.00025,0.5,0.4,all,True,1.5,0.8,48
P295_00165,5694da7d1dd28707,second_retest,bollinger_expansion_breakout,1.1,12,0.00035,0.5,0.5,london_ny,False,,0.8,48
P295_00166,5bdff3fd57635890,london_tokyo,bollinger_expansion_breakout,1.2,12,0.00035,0.5,0.5,tokyo_london,False,1.2,1.2,48
P295_00167,6f532a1208dc4b42,expected_r,bollinger_expansion_breakout,1.3,12,0.00035,0.5,0.5,all,False,1.5,1.2,48
P295_00168,a491bae8f248fa56,funding_ny_hardening,bollinger_expansion_breakout,1.4,14,0.00035,0.2,0.5,london_ny,True,,,
P295_00169,ea527284ab9adda9,exit_risk,bollinger_expansion_breakout,1.55,14,0.00035,0.2,0.5,tokyo_london,False,1.2,,
P295_00170,73d986a0773921a6,variant_c_mtf,atr_volatility_expansion,1.1,14,0.00045,0.2,0.5,all,False,1.5,0.8,
P295_00171,234779ebba70bdfe,variant_b_rescue_mtf,atr_volatility_expansion,1.2,16,0.00045,0.2,0.5,london_ny,False,,0.8,
P295_00172,a1cac280428fa58a,pf12_fusion_mtf,atr_volatility_expansion,1.3,16,0.00045,0.2,0.5,tokyo_london,True,1.2,1.2,24
P295_00173,a4fbf1dcd9aed793,dirty_pf8_pruning,atr_volatility_expansion,1.4,16,0.00045,0.2,0.5,all,False,1.5,1.2,24
P295_00174,ff774381504f2a46,vwap_reclaim,atr_volatility_expansion,1.55,18,0.00045,0.2,0.5,london_ny,False,,,24
P295_00175,91ee63f119b200d6,second_retest,atr_volatility_expansion,1.1,18,0.0006,0.3,0.5,tokyo_london,False,1.2,,24
P295_00176,2cd427eb1731c06c,london_tokyo,atr_volatility_expansion,1.2,18,0.0006,0.3,0.2,all,True,1.5,0.8,48
P295_00177,7ad61ec0f3ef2dad,expected_r,atr_volatility_expansion,1.3,20,0.0006,0.3,0.2,london_ny,False,,0.8,48
P295_00178,2eac3db16ca483d2,funding_ny_hardening,atr_volatility_expansion,1.4,20,0.0006,0.3,0.2,tokyo_london,False,1.2,1.2,48
P295_00179,251163f1898044df,exit_risk,atr_volatility_expansion,1.55,20,0.0006,0.3,0.2,all,False,1.5,1.2,48
P295_00180,24eab7a73543129a,variant_c_mtf,breakout_retest,1.1,10,0.00025,0.3,0.2,london_ny,True,,,
P295_00181,c811682652c8768c,variant_b_rescue_mtf,breakout_retest,1.2,10,0.00025,0.3,0.2,tokyo_london,False,1.2,,
P295_00182,47cd75de25d0c1ab,pf12_fusion_mtf,breakout_retest,1.3,10,0.00025,0.4,0.2,all,False,1.5,0.8,
P295_00183,0d3936d3568ff107,dirty_pf8_pruning,breakout_retest,1.4,12,0.00025,0.4,0.2,london_ny,False,,0.8,
P295_00184,1930aedde87bbadd,vwap_reclaim,breakout_retest,1.55,12,0.00025,0.4,0.2,tokyo_london,True,1.2,1.2,24
P295_00185,d1b23521963a66c4,second_retest,breakout_retest,1.1,12,0.00035,0.4,0.2,all,False,1.5,1.2,24
P295_00186,b584608e61fcec34,london_tokyo,breakout_retest,1.2,14,0.00035,0.4,0.2,london_ny,False,,,24
P295_00187,b5a925598cb05ffb,expected_r,breakout_retest,1.3,14,0.00035,0.4,0.3,tokyo_london,False,1.2,,24
P295_00188,86a8e2bc4478d7ec,funding_ny_hardening,breakout_retest,1.4,14,0.00035,0.4,0.3,all,True,1.5,0.8,48
P295_00189,38ab36d5815063d4,exit_risk,breakout_retest,1.55,16,0.00035,0.5,0.3,london_ny,False,,0.8,48
P295_00190,12845c60ce5afa2e,variant_c_mtf,vwap_reclaim_continuation,1.1,16,0.00045,0.5,0.3,tokyo_london,False,1.2,1.2,48
P295_00191,6f99a0e27588ba8c,variant_b_rescue_mtf,vwap_reclaim_continuation,1.2,16,0.00045,0.5,0.3,all,False,1.5,1.2,48
P295_00192,29ca61b1d392b10e,pf12_fusion_mtf,vwap_reclaim_continuation,1.3,18,0.00045,0.5,0.3,london_ny,True,,,
P295_00193,cf66f7d2687e7150,dirty_pf8_pruning,vwap_reclaim_continuation,1.4,18,0.00045,0.5,0.3,tokyo_london,False,1.2,,
P295_00194,0ffceea6480d6238,vwap_reclaim,vwap_reclaim_continuation,1.55,18,0.00045,0.5,0.3,all,False,1.5,0.8,
P295_00195,e70a6ffeee819bf7,second_retest,vwap_reclaim_continuation,1.1,20,0.0006,0.5,0.3,london_ny,False,,0.8,
P295_00196,861f4614e3a5c875,london_tokyo,vwap_reclaim_continuation,1.2,20,0.0006,0.2,0.3,tokyo_london,True,1.2,1.2,24
